HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.Q5FreeTextInput,Approve,Reject
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,30LB5CDZNCA6SFA0DKTGI57FBE30Z8,A33Z2265ZOIZOZ,Submitted,Sun Jan 20 09:08:35 PST 2019,Sun Jan 20 09:10:25 PST 2019,Wed Jan 23 09:10:25 PST 2019,,,,110,0% (0/0),0% (0/0),0% (0/0),"Sir, we need your men on security.|Sir, it would be best for the mission if your men were on security.|Your soldiers can help with the aid station, but we will hand out supplies. |Okay. Your men can pack the supply bags and my men will distribute them.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,34X6J5FLPTY4GTAVCWK99HA75KLQJ8,A1WML1ZP2ISAR7,Submitted,Sun Jan 20 08:30:47 PST 2019,Sun Jan 20 08:33:26 PST 2019,Wed Jan 23 08:33:26 PST 2019,,,,159,0% (0/0),0% (0/0),0% (0/0),"We need your men to handle security, you and your men are much better at that than the United States|This mission will be much more successful if you are in charge of the security end.|We would be appreciative of any help you can give United States at the aid station but we need to hand out the supplies.|If you want to help with the supplies, we could United Statese help packing the supply bags that we hand out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,35H6S234SA03ZCCQ8L2H22ABNIE655,A34KIZQIU60RVE,Submitted,Sun Jan 20 08:30:43 PST 2019,Sun Jan 20 08:32:44 PST 2019,Wed Jan 23 08:32:44 PST 2019,,,,121,0% (0/0),0% (0/0),0% (0/0),Right now we need you to do security.|If you provide security it will help our overall mission.|Our soldiers will be handing out supplied but your team can help us with the aid station.|Ok I am not going to fight about this. We will hand out the supply bags if your team packs them.,,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,35L9RVQFCOI0HGMM551T75RHVDQHU2,A3OLRWACCCCUTU,Submitted,Sun Jan 20 09:05:37 PST 2019,Sun Jan 20 09:06:58 PST 2019,Wed Jan 23 09:06:58 PST 2019,,,,81,0% (0/0),0% (0/0),0% (0/0),"We really need you to be on security.|The overall mission will be much better off if your men work security.|You're team can help with the aid station, but my troops will be handing out supplies.|Let's just move forward here. Your team can pack the supply bags and my team will distribute them.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,36ZN444YTRY506D9F1758B07D4FOIN,AIHVLBHJROONN,Submitted,Sun Jan 20 08:46:59 PST 2019,Sun Jan 20 08:49:15 PST 2019,Wed Jan 23 08:49:15 PST 2019,,,,136,0% (0/0),0% (0/0),0% (0/0),"The United States needs you on security.|If you're on security, it'll help the overall mission.|Your team can help with the aid station, but my soldiers will be handing out the supplies.|Fine. Your team can help pack supply bags and my team will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,37C0GNLMHF3Y3PRJNRK00EY30ZED6M,A37XX32F7FC9SA,Submitted,Sun Jan 20 08:56:05 PST 2019,Sun Jan 20 09:01:22 PST 2019,Wed Jan 23 09:01:22 PST 2019,,,,317,0% (0/0),0% (0/0),0% (0/0),"Uncle Sam needs you and your men on security. We can handle the distribution of supplies|You and your men are more helpful to the mission as a whole on security detail. |You can stay here at the station, but I  want my guys handling the distribution of supplies.|Okay I don't want to fight anymore. We have work to do. Your team will pack the supplies my men will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,37FMASSAYCRLHCO0BW2J2R0865VIBC,A1Y4C2TYJFRF1G,Submitted,Sun Jan 20 08:30:04 PST 2019,Sun Jan 20 08:32:53 PST 2019,Wed Jan 23 08:32:53 PST 2019,,,,169,0% (0/0),0% (0/0),0% (0/0),"Please have your men only work security. |Having your soldiers work security is the best way to help the overall mission. |Your soldiers may assist at the aid station, however my soldiers will pass out the supplies. |Please have soldiers pack the supply bags and then my soldiers will disburse them.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,37FMASSAYCRLHCO0BW2J2R0865YIBF,A3RT82GOZ3OGJO,Submitted,Sun Jan 20 09:07:04 PST 2019,Sun Jan 20 09:11:19 PST 2019,Wed Jan 23 09:11:19 PST 2019,,,,255,0% (0/0),0% (0/0),0% (0/0),"I think your team is better equipped to supply security than my team.|The best way you can help this mission is by supplying security.|I would appreciate you help with the station, but we will be handing out the supplies.|I think it would go more smoothly if your team packed the bags while my team hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3A9AA95ATWMB9IUVNH1Q821SIN45PA,A2XE89KFI1DRPQ,Submitted,Sun Jan 20 08:28:50 PST 2019,Sun Jan 20 08:30:54 PST 2019,Wed Jan 23 08:30:54 PST 2019,,,,124,0% (0/0),0% (0/0),0% (0/0),We need you on security immediatley.|If your team helps on security the overall mission will benefit.|My soldiers will hand out supplies and we can use your team at the aid station.|We really need people to help pack supply bags. This is very necessary.,,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3B837J3LDOWXRX8LC5IN68BZXP0RSQ,A2ZU7A7BK3MPFV,Submitted,Sun Jan 20 08:35:23 PST 2019,Sun Jan 20 08:43:35 PST 2019,Wed Jan 23 08:43:35 PST 2019,,,,492,0% (0/0),0% (0/0),0% (0/0),"The United States needs you on security.|If you stay on security it will help the overall mission.|Your team can help with the aid station, but your soldiers will hand out the supplies.|Alright, your team can help. Please pack the supply bags then my team will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3C2NJ6JBKAHJ70ZVPJM066TLYYCN2V,AKJQBP1BSGN8Z,Submitted,Sun Jan 20 08:28:31 PST 2019,Sun Jan 20 08:30:29 PST 2019,Wed Jan 23 08:30:29 PST 2019,,,,118,0% (0/0),0% (0/0),0% (0/0),"Thanks for helping with the supplies, but we need more help with security.|Your team on security will be more helpful for the overall mission.|If your team wants to help with the aid station you can, but my soldiers have a good system going and would like to keep handing out supplies.|You can help pack the supply bags but my team will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3C5W7UE9CFQEQYHS17STJHYH6H3MX5,A33SAXWXELZUZ9,Submitted,Sun Jan 20 08:28:16 PST 2019,Sun Jan 20 08:35:05 PST 2019,Wed Jan 23 08:35:05 PST 2019,,,,409,0% (0/0),0% (0/0),0% (0/0),"Sir, the United States needs your team to be on security.|Your team can help this mission the most if they are on security.|Your team can help at the aid station, but my soldiers will be handing out the supplies.|We can work on this together. Your team can pack supply bags and then my team will hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3EKVH9QMEY4ALO8I0P8XA1HRKUC2DU,AGWRA2WBNN92I,Submitted,Sun Jan 20 08:51:00 PST 2019,Sun Jan 20 08:53:00 PST 2019,Wed Jan 23 08:53:00 PST 2019,,,,120,0% (0/0),0% (0/0),0% (0/0),"Security is very important and we need you to help with it.|You guys are great soldiers and working security would help the mission tremendously.|We could always use your help at the aid station, but our team already has supplies distribution covered.|I need your team to help pack these supply bags so our team can get them distributed.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3F0BG9B9MPNK500F2XC6JD80DY57YO,AGUF6B4Q9991D,Submitted,Sun Jan 20 09:08:04 PST 2019,Sun Jan 20 09:10:25 PST 2019,Wed Jan 23 09:10:25 PST 2019,,,,141,0% (0/0),0% (0/0),0% (0/0),"We need you to secure the area, now.|It is important to the mission that you secure the area for us.|I need you to help at the aid station, and we will distribute supplies|I'm done with this. You will help by packing supple bags that we hand out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3G0WWMR1UVK0ZJ1GRUC12OROE4RQND,A1A006227X28SA,Submitted,Sun Jan 20 08:47:02 PST 2019,Sun Jan 20 08:49:36 PST 2019,Wed Jan 23 08:49:36 PST 2019,,,,154,0% (0/0),0% (0/0),0% (0/0),"Gentlemen, there's a change of plan. I need you to stop passing out supplies and begin working security. I need this to happen immediately.|This will be more efficient for the mission by moving your team onto security.|I'm glad that you're helping, but let's have you in the aid station and helping in other ways. My soldiers will be the ones to hand out supplies.|All right. Fine. Your team can help us by packing all the supply bags. But it has to be my men to hand them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3GNA64GUZE4W9UVANUGF87R2NJQQ5M,AFUAJWWVWPHMW,Submitted,Sun Jan 20 08:28:47 PST 2019,Sun Jan 20 08:30:24 PST 2019,Wed Jan 23 08:30:24 PST 2019,,,,97,0% (0/0),0% (0/0),0% (0/0),"We need your team to be on security.|The overall mission will be helped if you are on security.|Your team can help but my team will be handing out the supplies.|Okay, have your team pack the supply bags but our team will be handing them out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3IJXV6UZ1XJ8XJ5P7TO9265CORYIRP,A2V1A5JKWJ9WG0,Submitted,Sun Jan 20 08:31:51 PST 2019,Sun Jan 20 08:34:49 PST 2019,Wed Jan 23 08:34:49 PST 2019,,,,178,0% (0/0),0% (0/0),0% (0/0),"I appreciate your team showing up to pass out supplies, however, they are needed on security. |Overall, the mission will be helped if your team is on security. |Your team can help with the aid station, but, my soldiers will be handing out the supplies. |I am willing to compromise and your team can help by packing supply bags that my soldiers will hand out.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3IKZ72A5B4G38UB7DE17QPNA72HFN7,AAPN98GLGFZZR,Submitted,Sun Jan 20 08:29:57 PST 2019,Sun Jan 20 08:35:06 PST 2019,Wed Jan 23 08:35:06 PST 2019,,,,309,0% (0/0),0% (0/0),0% (0/0),"We will be able to get more done if we accomplish our allocated tasks. The security of this area is extremely important, concentrate on that task and we'll handle our tasks.|The security of these people and ourselves is of upmost importance. It is essential that security is tight and the only way to do that is to focus on the task you've been given.|We'll handle the distribution of supplies, but for now your soldiers can bring the supplies back where they found them in the aid station so that we can distribute everything fairly and in the best way. |Alright. If you think this is more important than security. We'll divide up the tasks so we can accomplish more, quickly. Have your soldier pack the supply bags, and my soldiers will hand them out. Please don't hand them out, we'll take care of that.",,
3XU80RHWHZG42M6ILPKRCSOYDBA44G,3S9TI1T3V0PDRIS780WH0F0GJKOAF7,Write a response given some context and feedback,"We give you context and some feedback, we ask that you provide a response that matches the context and feedback.","rewrite, writing, response, 16",$0.25 ,Sun Jan 20 08:27:06 PST 2019,50,BatchId:3505147;OriginalHitTemplateId:920937336;,900,259200,Thu Jan 24 08:27:06 PST 2019,,,3IO1LGZLK9XMMUVS6J9KEMK2P8I86C,A1G84UV90TGHSR,Submitted,Sun Jan 20 09:09:36 PST 2019,Sun Jan 20 09:12:01 PST 2019,Wed Jan 23 09:12:01 PST 2019,,,,145,100% (6/6),0% (0/0),0% (0/0),"We need your troops on security. |Putting your men on security will ensure success here.|Your team can help with the aid station, no problem...we will hand out the suppplies.|OK, I surrender. We'll give you the supply bags; your men can pack them.",,
