,Original Input,Topic 1,Topic 2,Topic 3
32,It won't take long.,0.08507723361253738,0.09215909242630005,0.8227636814117432
33,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.038347531110048294,0.9221765398979187,0.03947592154145241
34,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.0306415818631649,0.029199399054050446,0.940159022808075
35,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.030963866040110588,0.9370946288108826,0.03194153308868408
36,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372328400611877,0.02808271162211895,0.9455450177192688
37,"I'd really prefer just to wait until the brief, if that is ok.",0.059099845588207245,0.06288671493530273,0.8780134320259094
38,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.027549082413315773,0.9453882575035095,0.02706269733607769
39,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.02900230698287487,0.02968021109700203,0.9413174390792847
40,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9307487607002258,0.0350961871445179,0.03415505960583687
41,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.027558263391256332,0.945378839969635,0.02706291526556015
42,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.02736252173781395,0.03035668283700943,0.9422808289527893
43,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.038347598165273666,0.9221680760383606,0.03948440030217171
44,"No, he is not here. I am taking his place.",0.11296163499355316,0.11254098266363144,0.774497389793396
45,It won't take long.,0.08507750183343887,0.09222204983234406,0.8227004408836365
46,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.0393843874335289,0.920897364616394,0.039718255400657654
47,Why does it have to be in private? We don't have a ton of time. ,0.08439061045646667,0.8293412327766418,0.08626816421747208
48,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.026403769850730896,0.024196643382310867,0.9493995904922485
49,"I'd really prefer just to wait until the brief, if that is ok.",0.05909985303878784,0.06288731843233109,0.8780128359794617
50,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9570381045341492,0.02145034447312355,0.02151154913008213
51,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.038347989320755005,0.9221580624580383,0.039493974298238754
52,"No, he is not here. I am taking his place.",0.1129525676369667,0.11253371834754944,0.7745137214660645
53,The plan was to use one large aid station with American medics running it. How is this way better?,0.9426285624504089,0.028690742328763008,0.028680721297860146
54,"No, he is not here. I am taking his place.",0.11295292526483536,0.11253370344638824,0.7745133638381958
55,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.0393829382956028,0.9208937883377075,0.039723217487335205
56,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.02900216542184353,0.029674770310521126,0.9413231015205383
57,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.8812728524208069,0.05886717885732651,0.05985993891954422
58,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.055842623114585876,0.061012838035821915,0.8831444978713989
59,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.01904207281768322,0.9616957902908325,0.019262144342064857
60,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.019042080268263817,0.9616944193840027,0.019263504073023796
61,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.030963828787207603,0.9370959997177124,0.031940165907144547
62,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9315487742424011,0.034058138728141785,0.034393053501844406
63,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.038347527384757996,0.922178328037262,0.03947410359978676
64,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.026412760838866234,0.024196675047278404,0.9493905305862427
65,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.04094993323087692,0.9205830693244934,0.03846699371933937
66,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.9009779691696167,0.04996702820062637,0.049054984003305435
67,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.03736871853470802,0.9241825938224792,0.038448646664619446
68,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.04092548042535782,0.9206076860427856,0.038466840982437134
69,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.029002109542489052,0.02967139333486557,0.9413264989852905
70,"I'd really prefer just to wait until the brief, if that is ok.",0.059099338948726654,0.06286589056253433,0.878034770488739
71,I don't have any questions right now.,0.09541626274585724,0.8182409405708313,0.08634281903505325
72,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.027563244104385376,0.9453737735748291,0.027062999084591866
73,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.04723098874092102,0.909885048866272,0.0428839772939682
74,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9027155041694641,0.045858606696128845,0.05142588913440704
75,Can you explain to me why we are setting up two individual aid stations?,0.055032290518283844,0.8963233232498169,0.04864440858364105
76,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.03097139298915863,0.03308817744255066,0.9359404444694519
77,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.9026643633842468,0.045859288424253464,0.05147638916969299
78,"Hello, sir. Have you eaten yet?",0.06699920445680618,0.06685954332351685,0.8661412596702576
79,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9614929556846619,0.018933333456516266,0.019573738798499107
80,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.030623219907283783,0.029199151322245598,0.9401776194572449
81,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9614993333816528,0.01893339678645134,0.01956726238131523
82,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.025160085409879684,0.025268210098147392,0.9495717287063599
83,"No, he is not here. I am taking his place.",0.11295248568058014,0.11253367364406586,0.774513840675354
84,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.9573264122009277,0.021120475605130196,0.02155310846865177
85,He is busy today,0.1115046814084053,0.7767736315727234,0.11172162741422653
86,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.018246416002511978,0.014817118644714355,0.966936469078064
87,"Hello, sir. Have you eaten yet?",0.0669991746544838,0.06685954332351685,0.8661412596702576
88,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.038347549736499786,0.9221765398979187,0.03947588428854942
89,It won't take long.,0.08507754653692245,0.09223248809576035,0.822689950466156
90,I’d rather not say.,0.11197438091039658,0.776337206363678,0.11168840527534485
91,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9614855647087097,0.01893347129225731,0.01958097703754902
92,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.047232892364263535,0.9098831415176392,0.0428839810192585
93,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.0190420038998127,0.9616957902908325,0.01926218532025814
94,I’d rather not say.,0.1119743213057518,0.7763372659683228,0.11168841272592545
95,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.957039475440979,0.021449798718094826,0.021510770544409752
96,"No, he is not here. I am taking his place.",0.11295310407876968,0.11253374814987183,0.7745131254196167
97,Can I talk with you in private once questions are over?,0.4253450632095337,0.4889649748802185,0.085689976811409
98,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.018262552097439766,0.014817086979746819,0.9669203162193298
99,He is busy today,0.1115046814084053,0.7767736911773682,0.11172161251306534
100,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.030971428379416466,0.0331040620803833,0.9359245300292969
101,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.8812732696533203,0.05886780843138695,0.05985894426703453
102,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.029002506285905838,0.029680835083127022,0.9413166642189026
103,I don't have any questions right now.,0.09542442113161087,0.8182326555252075,0.08634293079376221
104,Can you explain to me why we are setting up two individual aid stations?,0.05498651787638664,0.8963690996170044,0.048644375056028366
105,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.02900213561952114,0.029677847400307655,0.94132000207901
106,"I'd really prefer just to wait until the brief, if that is ok.",0.05909954011440277,0.06287425011396408,0.8780261874198914
107,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.03834754228591919,0.9221749305725098,0.03947754576802254
108,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.03726349398493767,0.03986726701259613,0.9228692650794983
109,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.0290023572742939,0.02967706322669983,0.9413205981254578
110,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.02640652284026146,0.024196652695536613,0.9493968486785889
111,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.01904204674065113,0.961694598197937,0.019263314083218575
112,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.047244843095541,0.9098711609840393,0.04288399964570999
113,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.037263501435518265,0.039876069873571396,0.9228604435920715
114,"No, he is not here. I am taking his place.",0.11296579986810684,0.11253751814365387,0.7744966745376587
115,"Hello, sir. Have you eaten yet?",0.0669991672039032,0.06685954332351685,0.8661412596702576
116,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9570388793945312,0.021450398489832878,0.02151075005531311
117,He is busy today,0.1115046888589859,0.7767736911773682,0.11172161996364594
118,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9307542443275452,0.03509072586894035,0.03415502980351448
119,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.027561713010072708,0.9453753232955933,0.027062954381108284
120,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.03834760934114456,0.9221648573875427,0.03948751091957092
121,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.030963871628046036,0.9370772242546082,0.03195887804031372
122,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372293010354042,0.028071479871869087,0.9455562233924866
123,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9315482378005981,0.034058015793561935,0.03439372405409813
124,"I'd really prefer just to wait until the brief, if that is ok.",0.05909945070743561,0.06287024915218353,0.8780303001403809
125,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.04417795687913895,0.04841523990035057,0.9074068069458008
126,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.055842623114585876,0.061024051159620285,0.8831332921981812
127,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.9134963750839233,0.041777294129133224,0.04472638666629791
128,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.04096008092164993,0.920572817325592,0.03846704959869385
129,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9307578206062317,0.035087212920188904,0.03415501117706299
130,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.042334653437137604,0.04336704686284065,0.9142982959747314
131,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.018238849937915802,0.014817132614552975,0.9669440388679504
132,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9307532906532288,0.03509163111448288,0.03415502607822418
133,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372283697128296,0.02806783653795719,0.9455598592758179
134,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.03834754601120949,0.9221771955490112,0.039475250989198685
135,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.030963953584432602,0.9370691180229187,0.0319669172167778
136,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.027362506836652756,0.03035283088684082,0.9422846436500549
137,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.037368740886449814,0.9241778254508972,0.03845348209142685
138,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.03938411921262741,0.9208899736404419,0.03972592204809189
139,"No, he is not here. I am taking his place.",0.11296793073415756,0.11254183202981949,0.7744902968406677
140,I’d rather not say.,0.11197421699762344,0.7763373851776123,0.11168838292360306
141,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.04417791590094566,0.04841679334640503,0.9074052572250366
142,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.0264122411608696,0.024196671321988106,0.9493910670280457
143,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.044178009033203125,0.04839939996600151,0.9074226021766663
144,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.038347553461790085,0.922172486782074,0.03947997838258743
145,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.03736873343586922,0.9241786599159241,0.03845265135169029
146,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.05584263429045677,0.061025116592645645,0.88313227891922
147,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.042334653437137604,0.04336682707071304,0.9142984747886658
148,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.03726349398493767,0.03986968845129013,0.9228668212890625
149,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.03938591107726097,0.9208865761756897,0.03972753882408142
150,I’d rather not say.,0.11197447031736374,0.7763370871543884,0.11168846487998962
151,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.03097136691212654,0.03307795152068138,0.9359506964683533
152,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.042334653437137604,0.04336632415652275,0.9142990112304688
153,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.03062363900244236,0.029199156910181046,0.9401772022247314
154,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.9009774923324585,0.04996823891997337,0.04905423894524574
155,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,0.0309639610350132,0.9370954036712646,0.03194061294198036
156,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.9573249220848083,0.021120471879839897,0.021554620936512947
157,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.029002351686358452,0.02967817708849907,0.941319465637207
158,He is busy today,0.11150467395782471,0.7767736911773682,0.11172163486480713
159,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.04724452644586563,0.909871518611908,0.04288399592041969
160,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372358202934265,0.02809320203959942,0.9455344080924988
161,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.027551686391234398,0.9453855156898499,0.02706279046833515
162,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.030971398577094078,0.03309272602200508,0.9359358549118042
163,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9315472841262817,0.034058019518852234,0.034394726157188416
164,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.03736872971057892,0.9241804480552673,0.03845084086060524
165,He is busy today,0.1115046814084053,0.7767736315727234,0.11172164231538773
166,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.030971383675932884,0.033085208386182785,0.9359434247016907
167,"Hello, sir. Have you eaten yet?",0.06699926406145096,0.06685954332351685,0.8661412000656128
168,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9614750742912292,0.018934568390250206,0.019590318202972412
169,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.027989285066723824,0.02982107549905777,0.942189633846283
170,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9614953994750977,0.018933478742837906,0.019571127369999886
171,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.03736872971057892,0.9241780042648315,0.03845319151878357
172,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.05584261938929558,0.06101599335670471,0.8831413984298706
173,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.026424240320920944,0.02419671230018139,0.949379026889801
174,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372360065579414,0.028092892840504646,0.9455347061157227
175,"I'd really prefer just to wait until the brief, if that is ok.",0.05910065770149231,0.06292053312063217,0.8779788017272949
176,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.030971385538578033,0.03308720886707306,0.9359413981437683
177,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.03938271105289459,0.9209055304527283,0.03971177339553833
178,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.039386652410030365,0.9208818078041077,0.03973155841231346
179,Why does it have to be in private? We don't have a ton of time. ,0.0843905359506607,0.8293426036834717,0.08626687526702881
180,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.03938218206167221,0.9208920001983643,0.03972579538822174
181,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.03938376531004906,0.9208930730819702,0.039723221212625504
182,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.027567917481064796,0.9453690648078918,0.02706301584839821
183,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372287422418594,0.02806953154504299,0.9455581903457642
184,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.9570379853248596,0.021450774744153023,0.021511275321245193
185,I don't have any questions right now.,0.09547348320484161,0.8181829452514648,0.08634358644485474
186,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9307560920715332,0.0350889191031456,0.03415500372648239
187,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372328400611877,0.028081530705094337,0.9455461502075195
188,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.9009824395179749,0.04996303841471672,0.049054503440856934
189,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.03726348653435707,0.03986167535185814,0.9228748679161072
190,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.03834756463766098,0.922172486782074,0.039479970932006836
191,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.027362534776329994,0.030360715463757515,0.9422767758369446
192,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.027559811249375343,0.9453772902488708,0.027062900364398956
193,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.037368759512901306,0.9241717457771301,0.038459524512290955
194,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",0.026372339576482773,0.028086455538868904,0.9455412030220032
195,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.03726349025964737,0.03986817225813866,0.9228683114051819
196,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.04417795315384865,0.048415012657642365,0.9074070453643799
197,"Hello, sir. Have you eaten yet?",0.06699934601783752,0.06685956567525864,0.8661410808563232
198,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.01823844201862812,0.014817132614552975,0.9669443964958191
199,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.9573336243629456,0.02112041972577572,0.021545981988310814
200,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.9307534694671631,0.03509151563048363,0.03415503352880478
201,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.05584263429045677,0.0610339492559433,0.8831234574317932
202,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.042334675788879395,0.04336760565638542,0.9142976999282837
203,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.0383475236594677,0.922177791595459,0.03947465494275093
204,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.02516045980155468,0.025266489014029503,0.9495730400085449
205,I don't have any questions right now.,0.09542646259069443,0.8182306289672852,0.0863429605960846
206,Why does it have to be in private? We don't have a ton of time. ,0.08439059555530548,0.8293392062187195,0.08627018332481384
207,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.027989359572529793,0.02983461692929268,0.9421759843826294
208,Why does it have to be in private? We don't have a ton of time. ,0.08439066261053085,0.8293342590332031,0.08627509325742722
209,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.039381612092256546,0.9208999276161194,0.03971841186285019
210,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.9573337435722351,0.02112041786313057,0.021545864641666412
211,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.8812786340713501,0.058866988867521286,0.05985431373119354
212,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.02736249379813671,0.03034924529492855,0.9422882199287415
213,Can you explain to me why we are setting up two individual aid stations?,0.05497804656624794,0.8963776230812073,0.048644375056028366
