,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
14,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.00757629657164216,0.007576318457722664,0.0075760651379823685,0.007577214390039444,0.007576179224997759,0.007576125208288431,0.007576482370495796,0.9242359399795532,0.007576896343380213,0.007576190400868654,0.007576315198093653
15,I don't have any questions right now.,0.022729193791747093,0.022730648517608643,0.022730082273483276,0.022728262469172478,0.02272951975464821,0.02272944338619709,0.022730490192770958,0.022728750482201576,0.022728990763425827,0.022728485986590385,0.7727060914039612
16,"No, he is not here. I am taking his place.",0.03030400536954403,0.030303623527288437,0.030303217470645905,0.030303090810775757,0.03030320815742016,0.6969661116600037,0.030303146690130234,0.030303170904517174,0.03030310571193695,0.030303526669740677,0.03030380606651306
17,Can you explain to me why we are setting up two individual aid stations?,0.012988322414457798,0.012988182716071606,0.0129880141466856,0.012987385503947735,0.012987187132239342,0.012987484224140644,0.01298720296472311,0.012987415306270123,0.8701228499412537,0.012988781556487083,0.01298715639859438
18,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.015153462998569012,0.015151618979871273,0.01515168696641922,0.015152196399867535,0.015151756815612316,0.8484781980514526,0.015152097679674625,0.01515235286206007,0.015152760781347752,0.015151807107031345,0.015152093954384327
19,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.005050670821219683,0.0050506191328167915,0.005050583276897669,0.9494938254356384,0.005050621926784515,0.005050569772720337,0.005050633568316698,0.0050506191328167915,0.0050506191328167915,0.005050591193139553,0.00505061075091362
20,I’d rather not say.,0.6969634294509888,0.030303161591291428,0.030303454026579857,0.03030317835509777,0.030303843319416046,0.03030695766210556,0.030303161591291428,0.030303161591291428,0.030303319916129112,0.030303161591291428,0.030303161591291428
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.01010121963918209,0.01010143756866455,0.010102729313075542,0.010101525112986565,0.898984432220459,0.01010107807815075,0.010101443156599998,0.010101506486535072,0.010101404041051865,0.01010143756866455,0.010101770050823689
22,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.9350597858428955,0.006493847351521254,0.006493841763585806,0.0064940559677779675,0.006494373083114624,0.00649383245036006,0.006494406145066023,0.006494218483567238,0.0064938608556985855,0.006493738386780024,0.006493984721601009
23,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.015153343789279461,0.015151617117226124,0.015151686035096645,0.015152194537222385,0.015151754952967167,0.8484783172607422,0.01515209674835205,0.01515235099941492,0.015152759850025177,0.015151805244386196,0.015152093023061752
24,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.00757629657164216,0.007576318457722664,0.0075760651379823685,0.007576816249638796,0.007576179224997759,0.007576125208288431,0.007576482370495796,0.9242362976074219,0.007576897740364075,0.007576190400868654,0.007576315198093653
25,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.007575955707579851,0.0075759864412248135,0.007576036732643843,0.007575978524982929,0.00757605442777276,0.0075758760794997215,0.924239993095398,0.0075760772451758385,0.007576008327305317,0.00757591100409627,0.007576123811304569
26,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.0075759561732411385,0.007575987372547388,0.007576037663966417,0.0075759789906442165,0.007576055359095335,0.007575876545161009,0.924239993095398,0.007576076779514551,0.007576008792966604,0.007575911469757557,0.007576107047498226
27,"I'd really prefer just to wait until the brief, if that is ok.",0.015152642503380775,0.01515316404402256,0.015152931213378906,0.01515245996415615,0.015152684412896633,0.01515166461467743,0.01515166461467743,0.015153403393924236,0.015152054838836193,0.8484746217727661,0.0151527663692832
28,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.010101103223860264,0.01010153442621231,0.8989880084991455,0.01010112650692463,0.010101312771439552,0.010101060383021832,0.010101346299052238,0.010101226158440113,0.010101067833602428,0.010101070627570152,0.010101170279085636
29,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.010101103223860264,0.010101516731083393,0.8989880084991455,0.01010112650692463,0.010101312771439552,0.010101060383021832,0.010101346299052238,0.010101226158440113,0.010101067833602428,0.010101070627570152,0.010101170279085636
30,"Hello, sir. Have you eaten yet?",0.018181946128606796,0.01818213239312172,0.018181970342993736,0.018181899562478065,0.018181899562478065,0.8181799650192261,0.018181899562478065,0.018181899562478065,0.018182486295700073,0.018181899562478065,0.018182022497057915
31,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.0113641656935215,0.011363920755684376,0.011364958249032497,0.011363934725522995,0.011363772675395012,0.011364833451807499,0.886356770992279,0.011364464648067951,0.011364109814167023,0.011365343816578388,0.011363744735717773
32,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.010101217776536942,0.010101436637341976,0.010102223604917526,0.01010152418166399,0.8989850282669067,0.0101010762155056,0.01010144129395485,0.010101505555212498,0.01010140310972929,0.010101436637341976,0.010101769119501114
33,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.004546096548438072,0.004545987118035555,0.004545677453279495,0.004545718431472778,0.004545683041214943,0.004545609932392836,0.004545804113149643,0.954542338848114,0.0045457873493433,0.004545555450022221,0.004545698408037424
34,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.010101143270730972,0.010101168416440487,0.010101135820150375,0.01010145153850317,0.01010114699602127,0.010101187974214554,0.8989876508712769,0.010101426392793655,0.01010128017514944,0.010101156309247017,0.010101262480020523
35,"Hello, sir. Have you eaten yet?",0.018181946128606796,0.01818213239312172,0.018181970342993736,0.018181899562478065,0.018181899562478065,0.8181799650192261,0.018181899562478065,0.018181899562478065,0.018182458356022835,0.018181899562478065,0.018182022497057915
36,"Hello, sir. Have you eaten yet?",0.018181946128606796,0.01818213239312172,0.018181968480348587,0.018181899562478065,0.018181899562478065,0.8181800246238708,0.018181899562478065,0.018181899562478065,0.018182378262281418,0.018181899562478065,0.018182022497057915
37,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.9350597858428955,0.006493848282843828,0.006493842229247093,0.006494056899100542,0.006494374014437199,0.006493833381682634,0.00649440661072731,0.0064942194148898125,0.00649386178702116,0.006493739318102598,0.006493985652923584
38,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.004546062555164099,0.004545987583696842,0.0045456779189407825,0.004545718897134066,0.00454568350687623,0.004545610398054123,0.00454580457881093,0.9545424580574036,0.004545787815004587,0.004545555915683508,0.004545698873698711
39,"No, he is not here. I am taking his place.",0.030304012820124626,0.030303625389933586,0.030303221195936203,0.030303094536066055,0.030303210020065308,0.6969661116600037,0.030303148552775383,0.030303172767162323,0.03030310943722725,0.030303528532385826,0.03030381165444851
40,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.009091144427657127,0.9090887308120728,0.009091140702366829,0.009091108106076717,0.009091192856431007,0.009091077372431755,0.009091049432754517,0.009091205894947052,0.009091071784496307,0.009091268293559551,0.009091033600270748
41,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.010101103223860264,0.010101625695824623,0.898987889289856,0.01010112650692463,0.010101312771439552,0.010101060383021832,0.010101346299052238,0.010101226158440113,0.010101067833602428,0.010101070627570152,0.010101170279085636
42,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.898986279964447,0.010101393796503544,0.010101369582116604,0.010101333260536194,0.010101132094860077,0.01010130438953638,0.01010109018534422,0.010101237334311008,0.01010176446288824,0.010101891122758389,0.010101229883730412
43,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.009091511368751526,0.009091353043913841,0.009091051295399666,0.009091454558074474,0.009091179817914963,0.009091097861528397,0.009090982377529144,0.0090910904109478,0.009091280400753021,0.9090876579284668,0.00909134466201067
44,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.011364164762198925,0.011363919824361801,0.011364949867129326,0.01136393379420042,0.011363771744072437,0.011364832520484924,0.886356770992279,0.011364463716745377,0.011364108882844448,0.011365342885255814,0.011363743804395199
45,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.011363851837813854,0.011364109814167023,0.011364287696778774,0.01136471051722765,0.011364113539457321,0.01136371772736311,0.01136371586471796,0.011364010162651539,0.8863591551780701,0.011364360339939594,0.01136397197842598
46,Why does it have to be in private? We don't have a ton of time. ,0.7727141976356506,0.02272815629839897,0.022729236632585526,0.022727832198143005,0.022728141397237778,0.022728556767106056,0.022729715332388878,0.022728662937879562,0.022729044780135155,0.022727863863110542,0.02272859215736389
47,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.011363852769136429,0.011364110745489597,0.011364288628101349,0.011365128681063652,0.011364114470779896,0.011363718658685684,0.011363716796040535,0.011364011093974113,0.8863587379455566,0.011364362202584743,0.011363972909748554
48,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.005050663370639086,0.0050506191328167915,0.005050583276897669,0.9494938254356384,0.005050621926784515,0.005050569772720337,0.005050633568316698,0.0050506191328167915,0.0050506191328167915,0.005050591193139553,0.00505061075091362
49,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.008264687843620777,0.008264708332717419,0.008264774456620216,0.008264786563813686,0.008264842443168163,0.008265077136456966,0.008265224285423756,0.008265379816293716,0.00826506968587637,0.008264890871942043,0.9173505902290344
50,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.011364773847162724,0.011364253237843513,0.011364257894456387,0.01136417780071497,0.011363765224814415,0.011364041827619076,0.011363866738975048,0.01136404275894165,0.4868553876876831,0.4108676314353943,0.01136380061507225
51,Can I talk with you in private once questions are over?,0.7727161645889282,0.02272963337600231,0.02272801101207733,0.022728070616722107,0.022728661075234413,0.02272808365523815,0.02272743172943592,0.02272774837911129,0.022728020325303078,0.022728219628334045,0.022729992866516113
52,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.8989859819412231,0.01010139286518097,0.010101367719471455,0.01010133232921362,0.010101131163537502,0.01010130438953638,0.010101089254021645,0.010101237334311008,0.01010171789675951,0.010102210566401482,0.010101228952407837
53,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.015152889303863049,0.015151649713516235,0.01515193935483694,0.0151520986109972,0.01515254657715559,0.015151767060160637,0.01515180803835392,0.015151871368288994,0.015152140520513058,0.015151718631386757,0.8484795689582825
54,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.0113641656935215,0.011363920755684376,0.011364972218871117,0.011363934725522995,0.011363772675395012,0.011364833451807499,0.886356770992279,0.011364464648067951,0.011364109814167023,0.011365343816578388,0.011363744735717773
55,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.004546050913631916,0.004545987118035555,0.004545677453279495,0.004545718431472778,0.004545683041214943,0.004545609932392836,0.004545804113149643,0.9545424580574036,0.0045457873493433,0.004545555450022221,0.004545698408037424
56,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.006993139628320932,0.006993900053203106,0.9300664067268372,0.006993221119046211,0.006993270944803953,0.0069933729246258736,0.00699364161118865,0.006993247661739588,0.006993311457335949,0.006993191782385111,0.006993276532739401
57,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.006993140559643507,0.006993948481976986,0.9300664067268372,0.006993222050368786,0.006993271876126528,0.006993373855948448,0.006993643008172512,0.006993248593062162,0.006993312854319811,0.0069931927137076855,0.006993277929723263
58,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.008264687843620777,0.008264708332717419,0.008264774456620216,0.008264786563813686,0.008264842443168163,0.008265078067779541,0.00826522521674633,0.008265521377325058,0.00826506968587637,0.008264890871942043,0.9173504114151001
59,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.011364013887941837,0.011364039033651352,0.011364342644810677,0.011364462785422802,0.01136418804526329,0.011363761499524117,0.011364292353391647,0.011364191770553589,0.011363937519490719,0.011363842524588108,0.8863589763641357
60,The plan was to use one large aid station with American medics running it. How is this way better?,0.007576296105980873,0.007575975731015205,0.007575952913612127,0.007575950585305691,0.007575805764645338,0.007576017640531063,0.0075759305618703365,0.007575956638902426,0.007576043717563152,0.924240231513977,0.007575829513370991
61,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.0056819189339876175,0.005681916140019894,0.005681915674358606,0.005682096350938082,0.943180501461029,0.005681865382939577,0.00568190636113286,0.005681920796632767,0.005681861191987991,0.0056819007731974125,0.005682202987372875
62,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.01010121963918209,0.01010143756866455,0.010102233849465847,0.010101525112986565,0.898984968662262,0.01010107807815075,0.010101443156599998,0.010101506486535072,0.010101404041051865,0.01010143756866455,0.010101770050823689
63,"No, he is not here. I am taking his place.",0.03030399978160858,0.030303625389933586,0.030303221195936203,0.030303094536066055,0.030303210020065308,0.6969661116600037,0.030303148552775383,0.030303172767162323,0.03030310943722725,0.030303528532385826,0.03030380979180336
64,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.011363851837813854,0.011364109814167023,0.011364287696778774,0.01136466022580862,0.011364113539457321,0.01136371772736311,0.01136371586471796,0.011364010162651539,0.8863592147827148,0.011364360339939594,0.01136397197842598
65,The plan was to use one large aid station with American medics running it. How is this way better?,0.00757627934217453,0.007575975731015205,0.007575952913612127,0.007575950585305691,0.007575805764645338,0.007576017640531063,0.0075759305618703365,0.007575956638902426,0.007576043717563152,0.924240231513977,0.007575829513370991
66,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.010101217776536942,0.010101436637341976,0.010102497413754463,0.01010152418166399,0.8989846706390381,0.0101010762155056,0.01010144129395485,0.010101505555212498,0.01010140310972929,0.010101436637341976,0.010101769119501114
67,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.008264687843620777,0.008264708332717419,0.008264774456620216,0.008264786563813686,0.008264842443168163,0.008265077136456966,0.008265224285423756,0.00826538447290659,0.00826506968587637,0.008264890871942043,0.9173505902290344
68,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01010130625218153,0.010101387277245522,0.010101862251758575,0.0101012596860528,0.010101433843374252,0.010101333260536194,0.8989859223365784,0.01010173000395298,0.010101298801600933,0.010101216845214367,0.010101307183504105
69,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.009091504849493504,0.009091353975236416,0.00909105222672224,0.009091425687074661,0.009091180749237537,0.009091098792850971,0.009090983308851719,0.009091091342270374,0.009091281332075596,0.9090876579284668,0.009091345593333244
70,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.007575955707579851,0.0075759864412248135,0.007576036732643843,0.007575978524982929,0.00757605442777276,0.0075758760794997215,0.924239993095398,0.007576076779514551,0.007576008327305317,0.00757591100409627,0.007576105650514364
71,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.011364697478711605,0.8863576054573059,0.01136404275894165,0.011364387348294258,0.011363878846168518,0.011364038102328777,0.011363798752427101,0.011364187113940716,0.011364869773387909,0.011364275589585304,0.011364241130650043
72,"No, he is not here. I am taking his place.",0.03030400723218918,0.030303625389933586,0.030303221195936203,0.030303094536066055,0.030303210020065308,0.6969661116600037,0.030303148552775383,0.030303172767162323,0.03030310943722725,0.030303528532385826,0.03030381165444851
73,I’d rather not say.,0.6969645619392395,0.030303161591291428,0.030303454026579857,0.03030317835509777,0.030303841456770897,0.030305858701467514,0.030303161591291428,0.030303161591291428,0.030303319916129112,0.030303161591291428,0.030303161591291428
74,It won't take long.,0.02272845432162285,0.022728202864527702,0.022728420794010162,0.02272774465382099,0.02272818051278591,0.7727154493331909,0.02273009717464447,0.02272851951420307,0.02272871695458889,0.022727860137820244,0.022728389129042625
75,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.010101217776536942,0.010101436637341976,0.010102065280079842,0.01010152418166399,0.8989850878715515,0.0101010762155056,0.01010144129395485,0.010101505555212498,0.01010140310972929,0.010101436637341976,0.010101769119501114
76,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.005681955721229315,0.005681976675987244,0.0056818826124072075,0.00568197388201952,0.005681859329342842,0.0056823426857590675,0.005681872833520174,0.005681942217051983,0.005681924056261778,0.9431804418563843,0.005681847222149372
77,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.007575955707579851,0.0075759864412248135,0.007576036732643843,0.007575978524982929,0.007576054893434048,0.0075758760794997215,0.924239993095398,0.007576075382530689,0.007576008327305317,0.00757591100409627,0.007576138246804476
78,The plan was to use one large aid station with American medics running it. How is this way better?,0.0075763193890452385,0.007575975265353918,0.00757595244795084,0.007575949653983116,0.007575805298984051,0.0075760167092084885,0.007575930096209049,0.0075759561732411385,0.007576042786240578,0.924240231513977,0.007575828582048416
79,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0037881643511354923,0.003788129659369588,0.0037881170865148306,0.0037880276795476675,0.0037880348972976208,0.003788217669352889,0.0037881177850067616,0.9621183276176453,0.0037884467747062445,0.0037883534096181393,0.0037880106829106808
80,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.011364013887941837,0.011364039033651352,0.011364343576133251,0.011364620178937912,0.01136418804526329,0.011363761499524117,0.011364292353391647,0.011364191770553589,0.011363937519490719,0.011363842524588108,0.8863587975502014
81,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.005050663836300373,0.005050618667155504,0.0050505828112363815,0.9494938254356384,0.005050621461123228,0.00505056930705905,0.0050506326369941235,0.005050618667155504,0.005050618667155504,0.005050590727478266,0.005050610285252333
82,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.01010121963918209,0.01010143756866455,0.010102186352014542,0.010101525112986565,0.898984968662262,0.01010107807815075,0.010101443156599998,0.010101506486535072,0.010101404041051865,0.01010143756866455,0.010101770050823689
83,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.011364792473614216,0.011364334262907505,0.011364199221134186,0.011364339850842953,0.011363768018782139,0.01136409305036068,0.011363852769136429,0.011364158242940903,0.8863571882247925,0.011365484446287155,0.011363828554749489
84,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.0069932290352880955,0.006993208546191454,0.006993508897721767,0.006993150804191828,0.006993134971708059,0.006993195042014122,0.006993421353399754,0.006993223447352648,0.9300673604011536,0.006993314251303673,0.006993232294917107
85,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.01136469841003418,0.8863576054573059,0.011364043690264225,0.011364388279616833,0.011363879777491093,0.011364039033651352,0.011363799683749676,0.01136418804526329,0.011364861391484737,0.011364276520907879,0.011364242061972618
86,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.0075759547762572765,0.007575985975563526,0.007576036266982555,0.007575978059321642,0.007576053496450186,0.007575875613838434,0.924239993095398,0.007576075382530689,0.00757600786164403,0.007575910072773695,0.007576109375804663
87,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.0069932532496750355,0.006993260700255632,0.006993210408836603,0.006993547081947327,0.006993736606091261,0.00699311587959528,0.006993272341787815,0.9300666451454163,0.0069931927137076855,0.006993230897933245,0.006993512157350779
88,I don't have any questions right now.,0.022729195654392242,0.0227309949696064,0.022730084136128426,0.022728262469172478,0.02272951975464821,0.02272944524884224,0.022730492055416107,0.022728752344846725,0.022728990763425827,0.022728485986590385,0.7727057933807373
89,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.00699314009398222,0.006993949878960848,0.9300663471221924,0.0069932215847074986,0.0069932714104652405,0.006993373390287161,0.0069936420768499374,0.006993248127400875,0.0069933123886585236,0.006993192248046398,0.006993276998400688
90,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.011364773847162724,0.011364257894456387,0.011364254169166088,0.011364187113940716,0.01136376615613699,0.011364045552909374,0.011363865807652473,0.011364049278199673,0.5133641958236694,0.38435879349708557,0.0113638024777174
91,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.9350597858428955,0.006493848282843828,0.006493842229247093,0.006494056899100542,0.006494374014437199,0.006493833381682634,0.006494410336017609,0.0064942194148898125,0.00649386178702116,0.006493739318102598,0.006493985652923584
92,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.015152889303863049,0.015151649713516235,0.01515193935483694,0.0151520986109972,0.01515254657715559,0.015151767060160637,0.01515180803835392,0.015151871368288994,0.015152140520513058,0.015151718631386757,0.8484795689582825
93,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.9350593686103821,0.006493848282843828,0.006493842229247093,0.006494056899100542,0.006494374014437199,0.006493833381682634,0.006494821980595589,0.0064942194148898125,0.00649386178702116,0.006493739318102598,0.006493986118584871
94,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.008264687843620777,0.008264708332717419,0.008264774456620216,0.008264786563813686,0.008264842443168163,0.008265078067779541,0.00826522521674633,0.00826566107571125,0.00826506968587637,0.008264890871942043,0.9173502922058105
95,It won't take long.,0.02272845059633255,0.022728201001882553,0.022728420794010162,0.02272774465382099,0.02272818237543106,0.7727156281471252,0.022729935124516487,0.02272851951420307,0.02272871509194374,0.022727860137820244,0.022728389129042625
96,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.015154019929468632,0.015151618979871273,0.01515168696641922,0.015152196399867535,0.015151756815612316,0.8484776616096497,0.015152097679674625,0.01515235286206007,0.0151527626439929,0.015151807107031345,0.015152095817029476
97,"No, he is not here. I am taking his place.",0.030304012820124626,0.030303625389933586,0.030303221195936203,0.030303094536066055,0.030303210020065308,0.6969661116600037,0.030303148552775383,0.030303172767162323,0.03030310943722725,0.030303528532385826,0.03030381165444851
98,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.011364699341356754,0.8863571882247925,0.0113640446215868,0.011364389210939407,0.011363880708813667,0.011364039964973927,0.01136380061507225,0.01136418990790844,0.01136527955532074,0.011364278383553028,0.011364242993295193
