,id,avatar_prompt_id,identifier,response_text,response_score,response_feedback,comment,id,turk_response_text,prompt_type,assignment,identifier,comment,response_round_score
1149,27,27,8d,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,4.0,"Gently tells the PLA officer what your intentions are. However, it has room to be misinterpreted as callous.",,1090,What about the fellow here before? Can I speak to him? It seemed you were both talking about this.,rewrite,3EWIJTFFVO78HKJ4HXF3XV6XDFYE0Od,8d,,5
843,20,20,7a,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",2.0,Very blunt and straightforward. Does not allow for any cultural competency to exist.,,1599,Can you spare a few extra men to help? We need the man power.,rewrite,3K9FOBBF2HJP8ML3ZP45L2SUU5ALNTa,7a,,1
902,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1576,"If you cannot help, my commander will be told that we have to come up with a new plan. You are integral to the plan. If we can talk it out we can come to an understanding.",rewrite,3GU1KF0O4I1DYYB4ORS3BO1KIQ7BP2b,7b,,5
620,15,15,5c,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,3.0,Deliberately makes assumptions about the Chinese officer knowing what a basic loadout is for an American aid mission which is not entirely empathetic. ,,744,It's going to be the standard basic loadout for humanitarian aid missions that we always do.,rewrite,3RKNTXVS3MYMQVKTKT0JDF6J9CG4AZc,5c,,3
1249,30,30,9c,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",3.33,Ties the two parties together and points out a potential reason why the issue exists with the supplies.,,303,"You were motioning toward the containers. Is the problem related to them? We can figure this out, we don't have another option.",rewrite,3SEPORI8WNZ2TS8I5MQ97BJSA7FZA2c,9c,,3
17,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,346,He isn't here so I am filling in for him. ,rewrite,33IZTU6J811HOTUXL4OFVQXNOE1XSEa,2a,,1
485,12,12,4c,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,2.33,The response is curt and dismissive.,,882,"I'm not sure it would be of any help to you, not all of the details have been finalized.",rewrite,3MH9DQ757WCMHKRBLZJBM5FG6LDGU8c,4c,,1
1531,40,40,13a,The plan was to use one large aid station with American medics running it. How is this way better?,2.67,"You simply restated the original plan, which the team leader elected to change. This raises the probability of an impasse since you are not superior to the Chinese team leader.",,1171,"Tell me, how are two stations better than one station with our medics in charge?",rewrite,3QAPZX2QN4DGM47OODK2VUX8GC5207a,13a,,3
916,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1580,"There must be something we can do. I will have to report this to my commander if this doesn't work out, and I know that isn't desirable for either of us.",rewrite,3IFS6Q0HJIJKYY52MIOESGA800USI4b,7b,,5
629,15,15,5c,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,3.0,Deliberately makes assumptions about the Chinese officer knowing what a basic loadout is for an American aid mission which is not entirely empathetic. ,,768,THere aren't much but I think it will do,rewrite,3XM0HYN6NKZB51NOYIUTCW75LNFPEBc,5c,,3
426,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,839,"I am busy preparing for the mission brief at this time, is alright if this waits until the information is prepared for the mission brief?",rewrite,3GFK2QRXX9H1TRRWZ3FL0W9O1RLW5Eb,4b,,1
939,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1540,"we can reach a compromise at our level because i am sure we both want to keep this from getting to the commander, we can not do this without you.",rewrite,39DD6S19JPB5J5PULRSV3U9JVMQZEAb,7b,,5
1231,30,30,9c,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",3.33,Ties the two parties together and points out a potential reason why the issue exists with the supplies.,,324,Is the issue with the containers that you were pointing at over here? It is important that we work together to find a way to make this work.,rewrite,3WOKGM4L71GUTBWTBBIZ270BHH30ODc,9c,,3
1120,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1101,"There's got to be another answer.  Who were you discussing this with? If he is your superior, I'd like to have a conversation with him.",rewrite,3IAS3U3I0FGH6RAYMTHRFBTR7G4B24c,8c,,3
364,10,10,4a,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",5.0,"Moderately appropriate, displays understanding and empathy towards the officer and his need to know, but is direct in telling him he will not comply.",,880,"I appreciate you looking out for your team, but you will just have to wait until after the brief this afternoon. You will get it all then. ",rewrite,3MH9DQ757WCMHKRBLZJBM5FG6LDGU8a,4a,,5
781,18,18,6c,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",3.67,More of a mutual solution rather than offering something first.,,103,"This is about the flight delay? Don't worry, we can increase our supplies and proceed as a team.",rewrite,3CFJTT4SXTQYF0LAYFQ3XPECDM47IJc,6c,,5
997,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1554,"Huh? We have the supplies, but we're spread so think we just don't have the necessary manpower.",rewrite,3AQF3RZ558IV195FEXFQOE1O2J3F6Cd,7d,,3
1118,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1073,"There must be another way. Who were you talking to? I would like to talk to him, if hes in your chain of command.",rewrite,39JEC7537U19DN06O3XXS0WKMZUVC0c,8c,,3
222,7,7,3a,I’d rather not say.,1.0,This anser is the worst because it is unnecessarily ambiguous. It only serves to increase suspicion between U.S. and Chinese.,,1396,I don't want to divulge that information.,rewrite,3ZGVPD4G6TH78O7RBMHQ2G9KYWKZT7a,3a,,1
1374,35,35,11a,It won't take long.,3.0,Gently nudging your interests forward after they have already been stated is a good way to push your position without aggravating the team leader.,,525,Ill just be a few minutes.,rewrite,3P1L2B7AD1P7Q7LF044I0RSZKFGOLCa,11a,,3
300,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1322,Sorry he was assigned somewhere else at the last minute and won't be here.,rewrite,3HMVI3QICJS6UELDDHVXI3HN0JCY1Tb,3b,,5
1175,28,28,9a,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",3.33,Makes the American look like he is only concerned about himself and is using the same desire to stay under the radar to get the mission accomplished.,,313,"Please be flexible. There are supplies for all. If we have to scrap the mission, we will both fail.",rewrite,3TXWC2NHNZQRNXCZIOI1FNB5HAZS9Da,9a,,3
1057,24,24,8a,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,1.0,Does not attempt to come up with a solution and distances the user from the chinese officer,,1051,"I'm sorry, but this has left me with no choice but to go to one of our commanders to get this to work-there's no alternative.",rewrite,32SCWG5HIH47SMU9S0BV08FS4PPP6Oa,8a,,1
1011,23,23,7d,"What? But we have plenty of supplies, we need your men to help us, we can't do it without you since we are stretched so thin already.",3.0,The anger is expressive but accurate for the situation since an emotional response is appropriate,,1494,"Trust me, I want to help.  We need to do this together.",rewrite,31Z0PCVWUKFOOE1LSRP7BWGLO3V7TBd,7d,,3
512,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,667,"Hoping it is okay with you,I really prefer to just wait until the brief.",rewrite,3A1COHJ8NJV2JJF9220OBD9SOTG8HZa,5a,,1
589,14,14,5b,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",5.0,The response is direct and does not seem to hold ulterior motives.,,698,"There are crates full of supplies like food, water and hospital equipment available. Right now, our objective is giving it to the locals.",rewrite,3HMIGG0U4L6O5E5YC24CXD4VEPDY88b,5b,,5
948,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1589,If I had your men then I could deliver the supplies to the refugees. We have to reach some sort of compromise because this mission has to be accomplished successfully.,rewrite,3IXEICO792J5KENG9HKF5IGPTSBT6Yc,7c,,3
1471,38,38,12b,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,4.67,Good job expressing thanks for meeting with him. Phrasing your issues with the plans as questions will also reaffirm his status as the leader of his team and prompt him to be more gracious in discussing the plans.,,620,Thank you for meeting with me in private.  I am trying to understand the benefit to having two aid stations.  Why are you do it that way?,rewrite,3WOKGM4L71GUTBWTBBIZ270BHH3O01b,12b,,5
574,14,14,5b,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",5.0,The response is direct and does not seem to hold ulterior motives.,,710,"For now we have mainly brought crates of water, food, and hospital equipment to give to the locals. ",rewrite,3K2755HG5S3UMIKUOKN4UKBGJ5XFDBb,5b,,5
725,17,17,6b,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",2.0,Worst option since the tone is quite casual and seems to be flippant of the Chinese Officers situation.,,162,"I was hoping to meet and discuss our plans for the mission.  Since the plane has been delayed, I think it's important for us to convene and strategize together.",rewrite,3MB8LZR5BFTO0G002CCPTABQ0AYLKHb,6b,,1
266,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1391,He had something else he had to do and can't be here today.,rewrite,3IXEICO792J5KENG9HKF5IGPTTR6TTb,3b,,5
26,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,469,"He's not here, but I am filling in for him. ",rewrite,3XM0HYN6NKZB51NOYIUTCW75LO2EPPa,2a,,1
1389,35,35,11a,It won't take long.,3.0,Gently nudging your interests forward after they have already been stated is a good way to push your position without aggravating the team leader.,,507,It'll be quick.,rewrite,3D3VGR7TA0FT7GN6MQHMY03NVG63RJa,11a,,3
448,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,866,Is there an issue with the plan?,rewrite,3LJ7UR74RHDTAEEITX5OZLQJ8JKN47b,4b,,1
1424,36,36,11b,Why does it have to be in private? We don't have a ton of time. ,1.33,"Questioning the team leader's authority will be seen as an attack on his legitimacy as a leader, and will set the stage for future hostile interactions.",,496,Why is it in private? We're short on time.,rewrite,37WLF8U1WPQ6HVXTF86N4RTTAFK6K5b,11b,,1
839,19,19,6d,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",3.0,You are offering a solution to their problem while keeping it at the lowest level. This helps save face for the officer by solving their problem for them. Good for long term orientation as well.,,76,"With your plane being delayed I'd like to do my best to make the mission go smoothly. I'm sorry to interrupt, it sounded important, but is there anything I can do to help?",rewrite,32KTQ2V7RDFOP2ZUYRMF3ECZPLE9MFd,6d,,3
527,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,754,"I would rather wait until the brief, if that is all right with you.",rewrite,3UOUJI6MTDEX36M1A9JFARFB9AGXUMa,5a,,1
673,16,16,6a,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",3.33,Addresses their problem but does not offer solutions. Focuses on your problem due to their shortcomings.,,193,"I hope everything has been fixed. If it would be possible, I'd like to ask about the mission because the flight delay I heard about will affect how the Chinese soldiers.",rewrite,3S96KQ6I9M445N2VJ4STBOQHAEODT0a,6a,,3
283,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1412,"I am sorry, but he was given a last minute assignment that he had to report to immediately.",rewrite,3MRNMEIQW56GMAUQAVQ2PXG0G28LDDb,3b,,5
63,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,472,The commander had other responsibilities and requested I take his place. ,rewrite,3YZ8UPK3VTM908B6JDNSWEU18TQCUZa,2a,,1
1534,40,40,13a,The plan was to use one large aid station with American medics running it. How is this way better?,2.67,"You simply restated the original plan, which the team leader elected to change. This raises the probability of an impasse since you are not superior to the Chinese team leader.",,1189,The mission was to have one American led aid station. How is this plan an improvement on that?,rewrite,3LQ8PUHQFLSV8PRMBOCFO236RP2IHYa,13a,,3
48,4,4,2a,"No, he is not here. I am taking his place.",1.0,This answer is too curt and could be insulting to a Chinese officer senior in rank to you because you provide no explanation for the absence of your superior officer.,,442,"No sir, he couldn't be here; however, I'm here in his place.",rewrite,3QEMNNSB2XZH7P5O61PS6SYZLH8D7Za,2a,,1
441,11,11,4b,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,2.33,"Has an air of politeness to it that implies if the Chinese officer really needed the information, that you will give it, but it would be inconvenient to do so.",,842,I'm preparing for our meeting and I will be ready at the time of the brief.,rewrite,3GNA64GUZE4W9UVANUGF87R2DQPQ5Pb,4b,,1
945,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1577,"How can we make this work? One way or another, we have got to complete this task. Refugees are waiting for these supplies and we can't do it without your help.",rewrite,3GU1KF0O4I1DYYB4ORS3BO1KIQ7BP2c,7c,,3
499,12,12,4c,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,2.33,The response is curt and dismissive.,,804,The details haven't been finalized so I don't know if that will help you now.,rewrite,386CSBG1OZMSSYVOSDQK0D529L0Q65c,4c,,1
133,5,5,2b,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",3.0,This is an acceptable answer because it clearly expresses that your have taken charge of the U.S. element.,,398,The commander is not here.  I am the officer in charge of the U.S. component of this mission.,rewrite,3GNA64GUZE4W9UVANUGF87R2DQYQ5Yb,2b,,3
930,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1616,We need your assistance in this and would like to compromise. I'll notify the commander and we'll try to find a plan that will work for both of us.,rewrite,3NVC2EB65QZ24HZS0L9G6WWKY3H3YHb,7b,,5
932,21,21,7b,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",4.33,Focuses on the compromise and the sentiment that they cannot get the mission done without them. Has a determined tone that there is a way to make things work. A better option since it does not have as great of an emotional response.,,1516,"We really need you in order to complete this plan.  Otherwise, we will need to send notice to the commander that we are throwing out the plan altogether.  Since neither of us want it to come to that, isn't there a compromise that we can reach in this matter?",rewrite,36DSNE9QZ5Y1VHXFXJS5KCF7GQ8JO2b,7b,,5
1049,24,24,8a,Well I have no choice but to go to my commander or yours to try and get this to work. I'm sorry to have to do that but I don't see an alternative.,1.0,Does not attempt to come up with a solution and distances the user from the chinese officer,,1131,I'm sorry but I have no other option. I must speak to my commander or yours in order to get the objective achieved. ,rewrite,3PWWM24LHSYY4TCRJHXHO93QZAO827a,8a,,1
630,15,15,5c,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,3.0,Deliberately makes assumptions about the Chinese officer knowing what a basic loadout is for an American aid mission which is not entirely empathetic. ,,672,The details are fairly routine - we brought the general supplies as we normally do for aid missions.,rewrite,3B3WTRP3DB2YIYV1O93VO5Y1JGJ293c,5c,,3
292,8,8,3b,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",4.67,This answer does a good job of providing a reasonable excuse without revealing any internal information.,,1358,"Out of nowhere, he was shifted into another mission, and is unable to be here today.",rewrite,3WQ3B2KGE8GAH6S23PHDASJMFAO1BBb,3b,,5
826,19,19,6d,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",3.0,You are offering a solution to their problem while keeping it at the lowest level. This helps save face for the officer by solving their problem for them. Good for long term orientation as well.,,132,"Pardon my interruption, but this sounds important. Is there anything I can do to assist you? Since your plan has been delayed I would like to do whatever I can to help the mission go smoothly.",rewrite,3GFK2QRXX9H1TRRWZ3FL0W9O1RMW5Fd,6d,,3
1441,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,613,Now that we have privacy please explain why in the world you want to have 2 aid stations?,rewrite,3TE3O8573084MYRNIQ3HFQYVP23R2Ta,12a,,3
1137,27,27,8d,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,4.0,"Gently tells the PLA officer what your intentions are. However, it has room to be misinterpreted as callous.",,1062,How about the guy who was here earlier? Is it alright to talk to him? It seems like you both were talking about this.,rewrite,358010RM5ETXGLB1FZTK6DHUNHHXV3d,8d,,5
161,6,6,2c,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,5.0,"This is the best answer because it provides an excuse for the absence of your boss. Failing to do so would result in a loss of face for the Chinese Captain, because it would demonstrate that your officer does not have time to meet Captain Wang.",,60,He has urgent business away somewhere else. I am assuming control now.,feedback,3SPJ0334213DPV1H3613M3D9S2AJYIc,2c,,5
1445,37,37,12a,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",3.0,"This answer isn't bad, but in demonstrating eagerness to discuss the problem right off the bat it may be conveyed as disrespect.",,616,"Now that we're away from everyone else, what is your opinion on setting up two aid stations?",rewrite,3VW6495TLJ03KKWGP626WQSX74DYYJa,12a,,3
988,22,22,7c,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",2.67,"Focuses on the compromise, but has a bit of a harsher tone and almost shames the Chinese officer into complying.",,1541,is there something we can do to work this out because this mission must happen and we need your men to deliver these supplies to the refugees.,rewrite,39DD6S19JPB5J5PULRSV3U9JVMQZEAc,7c,,3
528,13,13,5a,"I'd really prefer just to wait until the brief, if that is ok.",1.0,It is very direct and centered on the speaker's discomfort with sharing information rather than make up a reason or simply share. Depending on the tone could display distrust.,,763,I'd rather you wait until the brief if that's alright. ,rewrite,3WSELTNVR3267GZJZU1RLNIBPCHTA6a,5a,,1
1332,33,33,10c,I don't have any questions right now.,1.0,"Although waiting to speak to the team leader when he is in private is culturally appropriate, this response is too passive and does not even arrange for a later discussion.",,1001,No questions at this time.,rewrite,3OCHAWUVGOKJ0AHPGVFD446D7JCXKJc,10c,,1
603,14,14,5b,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",5.0,The response is direct and does not seem to hold ulterior motives.,,731,"We have the essentials such as food, water and hospital equipment. At this time we will only be giving these things to the locals.",rewrite,3Q5ZZ9ZEVOFQ3QVE10ZFMG62JK458Ub,5b,,5
1257,31,31,10a,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",3.0,"Although asking to talk in private is the appropriate response, you addressed your interests in a tactful and respectful manner, and the team leader will most likely not find fault with your wording. He will, however, be flustered that you addressed a potential flaw in front of his subordinates.",,999,I have a problem as I don't understand why we are setting up two aid stations?,rewrite,3OCHAWUVGOKJ0AHPGVFD446D7JCXKJa,10a,,3
1116,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1077,There must be a way. What was the name of that man you were talking with? If he is your chain of command I would like to speak with him.,rewrite,3BWI6RSP7G9MZVJO2W0CCAGKLT07EDc,8c,,3
1287,32,32,10b,Can you explain to me why we are setting up two individual aid stations?,2.0,"Asking the team leader to explain to you will likely make him angry that he has to justify himself to a peer, and doing this in public will most likely embarrass him.",,1036,Explain to me why we are setting up two separate aid stations?,rewrite,3VJ40NV2QINV9KTK9D69MI2GESWOT9b,10b,,1
866,20,20,7a,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",2.0,Very blunt and straightforward. Does not allow for any cultural competency to exist.,,1487,We have all the supplies necessary and I am aware you have the men I need. We just need more manpower. Please spare a few men to help us with this mission.,rewrite,31T4R4OBOSG72XZA65UHMMGH0H1C73a,7a,,1
1125,26,26,8c,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,2.67,"While suitable to ask for someone else to approach, with a more direct tone to go to the Chain of Command it is less appropriate.",,1169,What was the man's name you were talking to? I'd like to talk to him if he is in your chain of command; there has to be a way,rewrite,3Z7ISHFUH0VOA4F38O6VBKDXKJEZ8Xc,8c,,3
1506,39,39,12c,"Hello, sir. Have you eaten yet?",1.0,"Asking if someone has eaten yet is an extremely common and polite way to initiate a Chinese conversation. However, since you have already been together in the recent past, this step is not efficient and unnecessary.",,624,Hi commander. Have you had a meal yet?,rewrite,3XXU1SWE8MV5R72S1SDH1CG6S050AKc,12c,,1
1074,25,25,8b,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",4.0,Appeals to the mission to help refugees while simultaneously in a matter of fact way explains what the speaker needs to do to proceed.,,1160,I have to get these supplies to refugees and in order to do that I have to talk to our chain of command.,rewrite,3WMINLGALB3PLZX8D861WDI71P0CANb,8b,,5
1172,28,28,9a,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",3.33,Makes the American look like he is only concerned about himself and is using the same desire to stay under the radar to get the mission accomplished.,,247,Let's work here.  There is ample supply left.  We can't do it to ruin our image.,rewrite,323Q6SJS8IGBYYPWAG6UL5QEBXEFH8a,9a,,3
