,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
32,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.013926620595157146,0.9026917815208435,0.013898479752242565,0.013894475065171719,0.013904177583754063,0.013893947005271912,0.013896140269935131,0.013894335366785526
33,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.006251991260796785,0.00625488581135869,0.006252907682210207,0.0062516178004443645,0.006257604341953993,0.006252293009310961,0.9562230110168457,0.006255712825804949
34,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.013911237008869648,0.013910419307649136,0.013894017785787582,0.013894062489271164,0.013903303071856499,0.01389407366514206,0.013897845521569252,0.9026950001716614
35,"Hello, sir. Have you eaten yet?",0.02500036731362343,0.02500036731362343,0.02500036731362343,0.025037603452801704,0.025006014853715897,0.8249481916427612,0.02500665932893753,0.02500036731362343
36,"Hello, sir. Have you eaten yet?",0.02500036731362343,0.02500036731362343,0.02500036731362343,0.025039128959178925,0.025006018579006195,0.8249467015266418,0.02500665932893753,0.02500036731362343
37,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.00893115159124136,0.9374758005142212,0.00893162190914154,0.008932671509683132,0.008932453580200672,0.008932364173233509,0.008931832388043404,0.008932076394557953
38,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.006251991260796785,0.006254884880036116,0.006252906750887632,0.00625161686912179,0.006257383152842522,0.006252293009310961,0.95622318983078,0.006255712825804949
39,"No, he is not here. I am taking his place.",0.04177163541316986,0.04167001321911812,0.04168650507926941,0.04170936718583107,0.04166712239384651,0.04167499765753746,0.7080429196357727,0.04177740961313248
40,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.012514463625848293,0.01250580046325922,0.912449300289154,0.012504052370786667,0.012509756721556187,0.012505502440035343,0.012504302896559238,0.012506794184446335
41,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.01389275398105383,0.013894209638237953,0.013896034099161625,0.01389399729669094,0.013894247822463512,0.9027380347251892,0.013897262513637543,0.01389339193701744
42,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.013911382295191288,0.0139026939868927,0.013898661360144615,0.013898495584726334,0.013895404525101185,0.9027047753334045,0.013893154449760914,0.013895383104681969
43,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.012504618614912033,0.012506499886512756,0.012514952570199966,0.012530428357422352,0.9124165773391724,0.01251402497291565,0.012501857243478298,0.012510979548096657
44,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.015626611188054085,0.015625979751348495,0.8905773758888245,0.01564938947558403,0.015633948147296906,0.01562548242509365,0.015625126659870148,0.015636103227734566
45,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.015642806887626648,0.01564374566078186,0.8905344009399414,0.015641238540410995,0.01563473790884018,0.01562730222940445,0.015632862225174904,0.015642885118722916
46,Why does it have to be in private? We don't have a ton of time. ,0.03126319870352745,0.031253330409526825,0.031274985522031784,0.031257789582014084,0.03129469230771065,0.78106689453125,0.03132383152842522,0.031265269964933395
47,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.015642806887626648,0.01564374566078186,0.8905344009399414,0.015641309320926666,0.01563473790884018,0.01562730222940445,0.015632862225174904,0.015642812475562096
48,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006945419125258923,0.9513562917709351,0.006946598645299673,0.006948062218725681,0.00694727897644043,0.006949998438358307,0.006948299705982208,0.0069580646231770515
49,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9204152822494507,0.011374348774552345,0.011367547325789928,0.011366516351699829,0.011371276341378689,0.011370057240128517,0.01136791706085205,0.011367067694664001
50,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.015628542751073837,0.015635116025805473,0.01563611999154091,0.015644216910004616,0.015634508803486824,0.8905614018440247,0.0156268123537302,0.015633298084139824
51,Can I talk with you in private once questions are over?,0.031311873346567154,0.031252000480890274,0.0313287079334259,0.031281035393476486,0.03132035583257675,0.7808161973953247,0.03138023987412453,0.03130962327122688
52,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.01391478069126606,0.013902699574828148,0.013898664154112339,0.013898499310016632,0.013895406387746334,0.9027013778686523,0.013893156312406063,0.013895384967327118
53,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.0208421740680933,0.8541178107261658,0.020836981013417244,0.020843300968408585,0.020835500210523605,0.02084469236433506,0.02083820477128029,0.020841337740421295
54,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.015626611188054085,0.015625979751348495,0.8905752897262573,0.015651462599635124,0.015633950009942055,0.01562548242509365,0.015625126659870148,0.015636105090379715
55,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.006251991726458073,0.006254886277019978,0.00625290721654892,0.0062516178004443645,0.006257475353777409,0.006252293474972248,0.9562231302261353,0.006255713291466236
56,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.009627681225538254,0.009620281867682934,0.9326448440551758,0.009617709554731846,0.009619071148335934,0.009617548435926437,0.009632833302021027,0.009620001539587975
57,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.009627681225538254,0.009620281867682934,0.932644784450531,0.009617709554731846,0.009619071148335934,0.009617548435926437,0.009632897563278675,0.009620001539587975
58,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9204152822494507,0.01137431152164936,0.011367547325789928,0.011366516351699829,0.011371276341378689,0.011370057240128517,0.01136791706085205,0.011367067694664001
59,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.015626730397343636,0.01562568172812462,0.015627505257725716,0.015647118911147118,0.015632910653948784,0.015630513429641724,0.015634100884199142,0.8905754089355469
60,The plan was to use one large aid station with American medics running it. How is this way better?,0.010418029502034187,0.010419118218123913,0.010438082739710808,0.9270187020301819,0.010434609837830067,0.010421475395560265,0.010417448356747627,0.010432523675262928
61,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.007826218381524086,0.007817218080163002,0.9452663660049438,0.007822098210453987,0.007815768010914326,0.007824588567018509,0.007813342846930027,0.007814375683665276
62,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.013921565376222134,0.9026969075202942,0.013898476958274841,0.01389447320252657,0.013904171995818615,0.013893945142626762,0.013896138407289982,0.013894334435462952
63,"No, he is not here. I am taking his place.",0.041754305362701416,0.04167000949382782,0.041686464101076126,0.04170927777886391,0.04166712239384651,0.041674982756376266,0.7080627679824829,0.04177504777908325
64,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.015642810612916946,0.01564374938607216,0.8905335068702698,0.015642017126083374,0.015634741634130478,0.0156273040920496,0.015632865950465202,0.01564301922917366
65,The plan was to use one large aid station with American medics running it. How is this way better?,0.010418028570711613,0.010419117286801338,0.010438058525323868,0.9270187020301819,0.010434608906507492,0.01042147446423769,0.010417447425425053,0.010432522743940353
66,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.013921941630542278,0.9026964902877808,0.013898476958274841,0.01389447320252657,0.013904171995818615,0.013893945142626762,0.013896138407289982,0.013894334435462952
67,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9204152822494507,0.011374324560165405,0.011367548257112503,0.011366517283022404,0.011371277272701263,0.011370058171451092,0.011367917992174625,0.011367068625986576
68,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.013897450640797615,0.013893520459532738,0.013895535841584206,0.013895010575652122,0.013900833204388618,0.013898740522563457,0.9027256369590759,0.013893278315663338
69,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.012504618614912033,0.012506499886512756,0.012514950707554817,0.012529881671071053,0.9124171733856201,0.01251402497291565,0.012501857243478298,0.012510977685451508
70,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.010420826263725758,0.010421723127365112,0.010421031154692173,0.010419651865959167,0.9270427823066711,0.010423884727060795,0.010428313165903091,0.010421792976558208
71,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.015628661960363388,0.01562836952507496,0.01563078723847866,0.015630222856998444,0.01563384383916855,0.015631025657057762,0.01565822958946228,0.8905588388442993
72,"No, he is not here. I am taking his place.",0.041754286736249924,0.04167000949382782,0.04168646037578583,0.04170927032828331,0.04166712239384651,0.04167497530579567,0.7080646753311157,0.04177321493625641
73,I’d rather not say.,0.7081319689750671,0.04166998341679573,0.04169641435146332,0.041714780032634735,0.04166709631681442,0.041714757680892944,0.041735101491212845,0.041669923812150955
74,It won't take long.,0.03126071020960808,0.03125084936618805,0.03125951811671257,0.03125685825943947,0.03126484528183937,0.0312592089176178,0.781182050704956,0.03126594424247742
75,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.013925724662840366,0.9026927351951599,0.013898479752242565,0.013894475065171719,0.013904175721108913,0.013893945142626762,0.013896140269935131,0.013894334435462952
76,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.007813719101250172,0.007813666947185993,0.0078180693089962,0.007819227874279022,0.9452901482582092,0.007814916782081127,0.007812684401869774,0.007817554287612438
77,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.010420823469758034,0.010421719402074814,0.01042102836072445,0.010419649071991444,0.9270452857017517,0.01042385958135128,0.01042582094669342,0.010421788319945335
78,The plan was to use one large aid station with American medics running it. How is this way better?,0.010418029502034187,0.010419119149446487,0.010440348647534847,0.9270163774490356,0.010434613563120365,0.01042147632688284,0.010417448356747627,0.010432525537908077
79,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.0052100676111876965,0.00521065853536129,0.005211589392274618,0.9635257124900818,0.005210916977375746,0.0052105761133134365,0.00520974351093173,0.005210719536989927
80,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.015626730397343636,0.01562568172812462,0.015627505257725716,0.015647800639271736,0.015632910653948784,0.015630515292286873,0.015634100884199142,0.8905747532844543
81,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006945418193936348,0.9513562321662903,0.006946598179638386,0.006948061753064394,0.006947278510779142,0.00694999797269702,0.006948299240320921,0.006958086974918842
82,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.013922239653766155,0.9026962518692017,0.013898476958274841,0.01389447320252657,0.013904171995818615,0.013893945142626762,0.013896138407289982,0.013894334435462952
83,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.015628544613718987,0.015635116025805473,0.015636123716831207,0.015643512830138206,0.015634510666131973,0.890562117099762,0.01562681421637535,0.015633299946784973
84,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.009625314734876156,0.009621338918805122,0.00963226705789566,0.9325928092002869,0.009642887860536575,0.009627128019928932,0.009636245667934418,0.009621962904930115
85,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.015628661960363388,0.01562836952507496,0.01563078723847866,0.015630222856998444,0.01563384383916855,0.015631025657057762,0.015657946467399597,0.8905591368675232
86,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.010420825332403183,0.010421722196042538,0.010421030223369598,0.010419650934636593,0.9270448088645935,0.010423865169286728,0.010426308028399944,0.01042179111391306
87,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.009618956595659256,0.009624154306948185,0.009620689786970615,0.9326534867286682,0.009619124233722687,0.009622909128665924,0.009617499075829983,0.009623177349567413
88,I don't have any questions right now.,0.031270988285541534,0.03125138580799103,0.78101646900177,0.03126581385731697,0.03130535036325455,0.03128145635128021,0.03134307265281677,0.0312654934823513
89,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.00962767843157053,0.00962028093636036,0.9326462745666504,0.009617709554731846,0.009619070217013359,0.009617548435926437,0.00963145773857832,0.009619999676942825
90,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.015628542751073837,0.015635116025805473,0.01563611812889576,0.01564425230026245,0.015634508803486824,0.8905613422393799,0.0156268123537302,0.015633298084139824
91,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.008931150659918785,0.9374758005142212,0.008931620977818966,0.00893267523497343,0.008932453580200672,0.008932368829846382,0.008931831456720829,0.008932074531912804
92,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.020842116326093674,0.8541198372840881,0.020836977288126945,0.020842332392930984,0.020835500210523605,0.020843809470534325,0.020838197320699692,0.02084122598171234
93,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.00893115159124136,0.9374758005142212,0.00893162190914154,0.008932693861424923,0.008932458236813545,0.008932367898523808,0.008931831456720829,0.008932077325880527
94,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9204137921333313,0.011375850066542625,0.011367550119757652,0.011366519145667553,0.011371280066668987,0.011370060965418816,0.011367919854819775,0.011367070488631725
95,It won't take long.,0.03126072511076927,0.03125084936618805,0.03125951811671257,0.03125685825943947,0.03126470744609833,0.0312592089176178,0.7811819314956665,0.03126617148518562
96,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.854032039642334,0.02084372006356716,0.02083648554980755,0.020863179117441177,0.020857682451605797,0.020874569192528725,0.020847048610448837,0.020845305174589157
97,"No, he is not here. I am taking his place.",0.04175686091184616,0.04167000576853752,0.04168645665049553,0.04170926660299301,0.04166711866855621,0.04167497158050537,0.7080647945404053,0.04177052900195122
98,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.015628663823008537,0.015628371387720108,0.01563078910112381,0.015630224719643593,0.01563384383916855,0.01563102751970291,0.01565735787153244,0.890559732913971
99,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.020842116326093674,0.8541198372840881,0.020836977288126945,0.02084232121706009,0.020835500210523605,0.020843811333179474,0.020838197320699692,0.02084122598171234
100,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.008931150659918785,0.9374757409095764,0.00893162190914154,0.008932707831263542,0.008932454511523247,0.008932377211749554,0.008931833319365978,0.008932079188525677
101,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.013892756775021553,0.013894212432205677,0.013896021991968155,0.01389399915933609,0.013894250616431236,0.9027381539344788,0.013897279277443886,0.013893394730985165
102,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.017861025407910347,0.017859771847724915,0.017861275002360344,0.017857542261481285,0.017860259860754013,0.017863446846604347,0.8749663829803467,0.017870252951979637
103,I’d rather not say.,0.7081329822540283,0.04166998714208603,0.04169641062617302,0.04171477630734444,0.04166710004210472,0.04171475023031235,0.04173406586050987,0.041669927537441254
104,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.010422199964523315,0.010422595776617527,0.010424396954476833,0.010420320555567741,0.9270208477973938,0.010423843748867512,0.010439748875796795,0.010426020249724388
105,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.9204152822494507,0.011374322697520256,0.011367548257112503,0.011366517283022404,0.011371277272701263,0.011370058171451092,0.011367917992174625,0.011367068625986576
106,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.010422197170555592,0.010422592051327229,0.01042439416050911,0.010420319624245167,0.9270251393318176,0.010423840023577213,0.010435485281050205,0.010426015593111515
107,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.012514406815171242,0.01250580046325922,0.9124494194984436,0.012504052370786667,0.012509756721556187,0.012505502440035343,0.012504302896559238,0.012506794184446335
108,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006945418193936348,0.9513543844223022,0.006946598179638386,0.006948062218725681,0.006947279442101717,0.006949998904019594,0.006948299240320921,0.006959936115890741
109,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.006251991726458073,0.006254886277019978,0.006252908147871494,0.006251618266105652,0.006257613189518452,0.006252293474972248,0.9562230110168457,0.006255713291466236
110,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.008338643237948418,0.008341768756508827,0.008342161774635315,0.008339791558682919,0.008337033912539482,0.008340226486325264,0.008339010179042816,0.9416213631629944
111,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.015626611188054085,0.015625977888703346,0.8905795216560364,0.015647228807210922,0.015633944422006607,0.01562548242509365,0.015625126659870148,0.015636101365089417
112,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.008338642306625843,0.008341766893863678,0.00834265723824501,0.008339790627360344,0.008337032981216908,0.008340226486325264,0.008339010179042816,0.9416208863258362
113,Can you explain to me why we are setting up two individual aid stations?,0.017861444503068924,0.017898980528116226,0.017870860174298286,0.017869170755147934,0.017867086455225945,0.8749085664749146,0.01785845123231411,0.017865432426333427
114,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.007826448418200016,0.007817217148840427,0.9452661275863647,0.007822098210453987,0.007815767079591751,0.007824587635695934,0.007813341915607452,0.007814374752342701
115,Can you explain to me why we are setting up two individual aid stations?,0.017861442640423775,0.017896922305226326,0.017870856449007988,0.017869167029857635,0.017867084592580795,0.8749106526374817,0.01785844936966896,0.017865430563688278
116,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.0156428050249815,0.015643740072846413,0.8905344009399414,0.015641335397958755,0.01563473604619503,0.0156273003667593,0.015632860362529755,0.015642821788787842
117,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.009618956595659256,0.009624122641980648,0.009620689786970615,0.9326534867286682,0.009619125165045261,0.009622915647923946,0.009617499075829983,0.009623208083212376
118,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.008931150659918785,0.9374758005142212,0.00893162190914154,0.008932700380682945,0.008932456374168396,0.008932369761168957,0.008931833319365978,0.008932078257203102
119,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.00962767843157053,0.00962028093636036,0.9326463937759399,0.009617709554731846,0.009619070217013359,0.009617548435926437,0.009631294757127762,0.009619999676942825
120,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.010420823469758034,0.010421720333397388,0.01042102836072445,0.010419649071991444,0.9270449876785278,0.010423869825899601,0.01042614970356226,0.010421790182590485
121,Why does it have to be in private? We don't have a ton of time. ,0.03126319870352745,0.031253330409526825,0.031274985522031784,0.031257789582014084,0.03129469230771065,0.7810670137405396,0.03132372349500656,0.031265269964933395
122,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.012516630813479424,0.01250580046325922,0.9124471545219421,0.012504052370786667,0.012509758584201336,0.012505502440035343,0.012504302896559238,0.012506794184446335
