,Original Input,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9
20,I’d rather not say.,0.03703721985220909,0.03703721985220909,0.03704260289669037,0.7036681771278381,0.03703778237104416,0.03703721985220909,0.03704080730676651,0.037058569490909576,0.03704039379954338
21,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.012348010204732418,0.012347040697932243,0.01235269382596016,0.012349473312497139,0.012348844669759274,0.012348497286438942,0.012347633950412273,0.012348541058599949,0.9012092351913452
22,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.007937445305287838,0.00793819036334753,0.00793785136193037,0.007939008064568043,0.007937407121062279,0.007937917485833168,0.00793785136193037,0.9364968538284302,0.007937508635222912
23,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.018521597608923912,0.018519222736358643,0.8518387079238892,0.01851865090429783,0.018525388091802597,0.018519597128033638,0.018519626930356026,0.018518613651394844,0.018518613651394844
24,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.00926295481622219,0.00926110241562128,0.009263187646865845,0.009260186925530434,0.009260470047593117,0.9259063005447388,0.009263222105801105,0.009262356907129288,0.009260177612304688
25,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.009262186475098133,0.009260964579880238,0.009261763654649258,0.009260968305170536,0.009260769002139568,0.009262368083000183,0.9259082078933716,0.009261672385036945,0.009261064231395721
26,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.009262185543775558,0.009260963648557663,0.009261766448616982,0.009260967373847961,0.009260768070816994,0.009262369945645332,0.9259082078933716,0.00926167145371437,0.009261063300073147
27,"I'd really prefer just to wait until the brief, if that is ok.",0.018523694947361946,0.01851922646164894,0.8518255949020386,0.01852179504930973,0.018518753349781036,0.018519200384616852,0.018518730998039246,0.01852024346590042,0.018532786518335342
28,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.012348064221441746,0.01234867237508297,0.01234650518745184,0.012347286567091942,0.012348778545856476,0.9012162089347839,0.012347866781055927,0.012348152697086334,0.012348495423793793
29,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.012348064221441746,0.012348645366728306,0.01234650518745184,0.012347286567091942,0.012348778545856476,0.9012162089347839,0.012347870506346226,0.012348152697086334,0.012348495423793793
30,"Hello, sir. Have you eaten yet?",0.0222223661839962,0.0222223661839962,0.0222223661839962,0.02222360111773014,0.022223982959985733,0.022225014865398407,0.0222223661839962,0.8222097158432007,0.022228216752409935
31,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.013889794237911701,0.013902561739087105,0.01388899888843298,0.01388899888843298,0.888865053653717,0.013891667127609253,0.013894909992814064,0.013889006339013577,0.01388899888843298
32,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.012348010204732418,0.012347040697932243,0.012352975085377693,0.012349474243819714,0.012348845601081848,0.012348497286438942,0.012347633950412273,0.012348541989922523,0.9012089967727661
33,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9555404186248779,0.005556441377848387,0.005556941963732243,0.005556562449783087,0.005556326825171709,0.0055581871420145035,0.005558741744607687,0.005558555945754051,0.005557860713452101
34,"It's not the ideal solution, I know, but unless we come to a compromise with manning or supplies I will have no choice.",0.012348621152341366,0.012347348965704441,0.01234916690737009,0.012346692383289337,0.012346574105322361,0.9012137651443481,0.01235273014754057,0.012347189709544182,0.012347984127700329
35,"Hello, sir. Have you eaten yet?",0.0222223661839962,0.0222223661839962,0.0222223661839962,0.02222360111773014,0.022223982959985733,0.022225014865398407,0.0222223661839962,0.822209358215332,0.022228553891181946
36,"Hello, sir. Have you eaten yet?",0.02222236804664135,0.02222236804664135,0.02222236804664135,0.02222360298037529,0.022223984822630882,0.022225016728043556,0.02222236804664135,0.8222097158432007,0.022228216752409935
37,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.007937443442642689,0.007938189432024956,0.007937850430607796,0.00793896522372961,0.00793740525841713,0.007937915623188019,0.007937850430607796,0.9364968538284302,0.007937506772577763
38,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9555402398109436,0.005556439980864525,0.005556941032409668,0.005556561052799225,0.0055563258938491344,0.005558186210691929,0.0055588544346392155,0.005558553617447615,0.005557859782129526
39,"No, he is not here. I am taking his place.",0.037039704620838165,0.03703761845827103,0.03703819215297699,0.03704589605331421,0.7036731243133545,0.037037186324596405,0.03703815117478371,0.03705291450023651,0.037037186324596405
40,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9110928773880005,0.011113357730209827,0.011113523505628109,0.011113004758954048,0.01111199613660574,0.011114726774394512,0.011113266460597515,0.011114166118204594,0.011113080196082592
41,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.012348064221441746,0.012348631396889687,0.01234650518745184,0.012347286567091942,0.01234877947717905,0.9012162089347839,0.012347863987088203,0.012348152697086334,0.012348495423793793
42,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.012348026037216187,0.012349391356110573,0.9011969566345215,0.012350931763648987,0.01234989333897829,0.012346288189291954,0.01234991941601038,0.012348232790827751,0.01236038189381361
43,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.011117774061858654,0.011116241104900837,0.011115985922515392,0.011113017797470093,0.01111613865941763,0.011111989617347717,0.011117021553218365,0.011111353524029255,0.911080539226532
44,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.013889792375266552,0.013903035782277584,0.01388899702578783,0.01388899702578783,0.8888645768165588,0.013891665264964104,0.013894908130168915,0.013889004476368427,0.01388899702578783
45,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.013891912065446377,0.013895181939005852,0.8888640403747559,0.013889235444366932,0.013889609836041927,0.013895084150135517,0.01389034278690815,0.013891341164708138,0.01389331091195345
46,Why does it have to be in private? We don't have a ton of time. ,0.027791544795036316,0.02778586931526661,0.02778308279812336,0.02778005599975586,0.027801238000392914,0.027789438143372536,0.02779480442404747,0.02777927741408348,0.7776947021484375
47,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.013891912065446377,0.013895388692617416,0.8888643383979797,0.013889235444366932,0.013889608904719353,0.013894574716687202,0.01389034278690815,0.013891340233385563,0.01389330718666315
48,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006174180656671524,0.006174418143928051,0.006173770409077406,0.006174334324896336,0.00617539556697011,0.006174365524202585,0.006177860777825117,0.006174614652991295,0.9506011009216309
49,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.01010377798229456,0.010102679952979088,0.9191789031028748,0.010102148167788982,0.010101762600243092,0.01010302733629942,0.010103673674166203,0.010102281346917152,0.010101706720888615
50,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.013893536292016506,0.0138948829844594,0.8888521194458008,0.013893852941691875,0.013892139308154583,0.013890386559069157,0.013896639458835125,0.013889148831367493,0.013897349126636982
51,Can I talk with you in private once questions are over?,0.027794599533081055,0.02778005599975586,0.02778068743646145,0.02778448909521103,0.027784038335084915,0.02777787856757641,0.027781296521425247,0.02777857519686222,0.7777383923530579
52,"Ok. Now that we're in private, why did you say that we would set up two aid stations?",0.012348026037216187,0.012349391356110573,0.9011969566345215,0.012350931763648987,0.01234989333897829,0.012346288189291954,0.01234991941601038,0.012348232790827751,0.012360423803329468
53,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.018520532175898552,0.018524013459682465,0.01852579042315483,0.01851964369416237,0.8518094420433044,0.01852191612124443,0.018521366640925407,0.018525784835219383,0.018531566485762596
54,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.013889793306589127,0.013902398757636547,0.013888997957110405,0.013888997957110405,0.8888652324676514,0.013891666196286678,0.01389490906149149,0.013889005407691002,0.013888997957110405
55,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9555403590202332,0.005556440446525812,0.005556941498070955,0.005556561518460512,0.005556326359510422,0.005558186676353216,0.0055587938986718655,0.005558554548770189,0.0055578602477908134
56,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.008548879064619541,0.008548752404749393,0.008553200401365757,0.9316080212593079,0.0085474057123065,0.008548274636268616,0.008548778481781483,0.00854905042797327,0.008547650650143623
57,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.008548878133296967,0.008548751473426819,0.00855268631130457,0.9316084980964661,0.0085474057123065,0.008548274636268616,0.008548778481781483,0.00854905042797327,0.008547650650143623
58,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.010104114189743996,0.010102680884301662,0.9191786646842957,0.010102149099111557,0.010101763531565666,0.010103029198944569,0.01010363269597292,0.010102282278239727,0.010101708583533764
59,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.013893092051148415,0.013890133239328861,0.013890588656067848,0.013889029622077942,0.013891777023673058,0.01389374677091837,0.013891213573515415,0.8888710141181946,0.013889402151107788
60,The plan was to use one large aid station with American medics running it. How is this way better?,0.009261740371584892,0.009265118278563023,0.009261107072234154,0.00926008727401495,0.009261407889425755,0.009260071441531181,0.9259098768234253,0.009259381331503391,0.009261204861104488
61,"I hope everything was resolved. if it is alright, I have a few questions about the mission since I heard you had a flight delay and that will affect how many Chinese soldiers are on the ground. ",0.00694480212405324,0.006944688502699137,0.006945114582777023,0.944434642791748,0.006949802860617638,0.006944885011762381,0.006945091299712658,0.0069451411254704,0.006945793982595205
62,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.012348010204732418,0.012347040697932243,0.012352741323411465,0.012349474243819714,0.012348844669759274,0.012348497286438942,0.012347633950412273,0.012348541058599949,0.9012092351913452
63,"No, he is not here. I am taking his place.",0.03703970089554787,0.03703761473298073,0.03703818842768669,0.03704589232802391,0.7036727666854858,0.03703718259930611,0.03703814744949341,0.03705331310629845,0.03703718259930611
64,"I appreciate you looking out for your team, but you will get all of it soon when we have the brief this afternoon. ",0.013891910202801228,0.013894971460103989,0.8888647556304932,0.013889233581721783,0.013889607973396778,0.013894578441977501,0.013890340924263,0.013891339302062988,0.013893304392695427
65,The plan was to use one large aid station with American medics running it. How is this way better?,0.009261740371584892,0.009264886379241943,0.009261107072234154,0.00926008727401495,0.009261407889425755,0.009260071441531181,0.9259101152420044,0.009259381331503391,0.009261204861104488
66,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.012348009273409843,0.012347039766609669,0.012352794408798218,0.012349472381174564,0.012348843738436699,0.012348495423793793,0.012347632087767124,0.012348540127277374,0.9012091159820557
67,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.010104009881615639,0.010102680884301662,0.9191787242889404,0.010102149099111557,0.010101763531565666,0.010103029198944569,0.010103614069521427,0.010102282278239727,0.01010170765221119
68,He couldn't make it today because he had unexpected business come up. I will be in charge in his absence.,0.01235129777342081,0.012348049320280552,0.012347555719316006,0.012345810420811176,0.9012129306793213,0.012349391356110573,0.01234740111976862,0.012347044423222542,0.012350517325103283
69,Thank you for meeting with me. I just had some questions about the part of the plan concerning the aid stations? Why are you doing it that way?,0.011118314228951931,0.011116242967545986,0.011115986853837967,0.011113018728792667,0.01111696008592844,0.011111990548670292,0.011117023415863514,0.011111353524029255,0.9110791087150574
70,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.009262187406420708,0.009260964579880238,0.009261766448616982,0.009260968305170536,0.009260769933462143,0.009262374602258205,0.9259082078933716,0.00926167331635952,0.009261065162718296
71,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.8888721466064453,0.013890732079744339,0.01388983242213726,0.013890350237488747,0.013890177942812443,0.013890969567000866,0.013892043381929398,0.013890361413359642,0.013893410563468933
72,"No, he is not here. I am taking his place.",0.037039704620838165,0.03703761845827103,0.03703819215297699,0.03704589605331421,0.7036730647087097,0.037037186324596405,0.03703815117478371,0.037052981555461884,0.037037186324596405
73,I’d rather not say.,0.03703722357749939,0.03703722357749939,0.03704260289669037,0.7036681175231934,0.03703778237104416,0.03703722357749939,0.03704081103205681,0.03705858811736107,0.03704039752483368
74,It won't take long.,0.027791466563940048,0.02778153121471405,0.02778015099465847,0.02778024598956108,0.7777286171913147,0.02778402715921402,0.027789095416665077,0.027782803401350975,0.02778209187090397
75,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.012348011136054993,0.012347040697932243,0.012353841215372086,0.012349474243819714,0.012348845601081848,0.012348498217761517,0.012347633950412273,0.012348541989922523,0.9012081623077393
76,Our American medics are trained at running aid stations and treating patients. They have much more experience than your medics. Our medics should handle the flow of patients.,0.006945562083274126,0.9444387555122375,0.006945125292986631,0.006944512948393822,0.006944911554455757,0.006944791879504919,0.0069468943402171135,0.0069445655681192875,0.0069448938593268394
77,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.009262187406420708,0.009260963648557663,0.009261762723326683,0.009260967373847961,0.009260768070816994,0.009262369945645332,0.9259082078933716,0.00926167145371437,0.009261062368750572
78,The plan was to use one large aid station with American medics running it. How is this way better?,0.009261742234230042,0.009266959503293037,0.009261108934879303,0.009260088205337524,0.00926140882074833,0.00926007330417633,0.9259080290794373,0.009259382262825966,0.009261206723749638
79,"When I made the plan, I believed that securing the site and protecting the victims was the most important task. Your men have good experience in security, so I wanted them to make sure everyone is safe. Our supplies are better suited for running the aid station.",0.004630554001778364,0.9629546403884888,0.004630319308489561,0.004630520939826965,0.00463080545887351,0.004631716292351484,0.004630727227777243,0.004630476702004671,0.004630273208022118
80,"I saw you pointing at the containers here.Would the issue have to do with that? We can make this work, we have to.",0.013893978670239449,0.013890131376683712,0.013890587724745274,0.013889027759432793,0.013891777023673058,0.01389377936720848,0.01389121264219284,0.8888700604438782,0.013889400288462639
81,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006174180191010237,0.006174417212605476,0.006173769943416119,0.006174333859235048,0.006175395101308823,0.006174364592880011,0.006177813746035099,0.00617461372166872,0.9506011009216309
82,Is it alright if this waits until the actual mission brief? I'm busy getting ready for it now.,0.012348009273409843,0.012347039766609669,0.01235440094023943,0.012349473312497139,0.012348844669759274,0.012348496355116367,0.012347633019089699,0.012348541058599949,0.9012075662612915
83,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.013893534429371357,0.013894882053136826,0.8888522386550903,0.0138938520103693,0.013892138376832008,0.013890385627746582,0.013896637596189976,0.013889147900044918,0.013897201046347618
84,What benefit does your way have? If we split up the supplies we won't be able to give every person what they need at a single station.,0.008552834391593933,0.931602954864502,0.008549852296710014,0.00854865089058876,0.008548770099878311,0.008548726327717304,0.008551637642085552,0.008547930046916008,0.008548646233975887
85,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.8888722062110901,0.013890733011066914,0.013889833353459835,0.013890351168811321,0.013890178874135017,0.01389097049832344,0.013892046175897121,0.013890362344682217,0.013893376104533672
86,"This mission has to happen, there are refugees that need these supplies and without your men we can't deliver them. Is there nothing we can do to work this out?",0.009262189269065857,0.009260962717235088,0.009261767379939556,0.009260966442525387,0.009260768070816994,0.00926237367093563,0.9259082078933716,0.009261670522391796,0.009261062368750572
87,"Well, I wanted to come over and share some of what we are planning for the mission and try and collaborate more closely since I just found out your plane was delayed.",0.008547578938305378,0.008548171259462833,0.008547643199563026,0.9316147565841675,0.008548041805624962,0.00854866486042738,0.008548174053430557,0.008548720739781857,0.0085482532158494
88,I don't have any questions right now.,0.027786102145910263,0.027781661599874496,0.027791572734713554,0.02780255116522312,0.02780318446457386,0.02778344415128231,0.7776662707328796,0.02777991071343422,0.027805276215076447
89,"We have crates of supplies like food, water, and hospital equipment available. As of right now that will be primarily what we are giving the locals.",0.008548879064619541,0.008548752404749393,0.00855350587517023,0.931607723236084,0.0085474057123065,0.008548274636268616,0.008548778481781483,0.00854905042797327,0.008547650650143623
90,"Yes, I have a few problems with your plan. Why are we setting up two aid stations?",0.013893538154661655,0.013894885778427124,0.8888503313064575,0.013893854804337025,0.013892140239477158,0.013890386559069157,0.013896643184125423,0.013889148831367493,0.013899094425141811
91,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.007937445305287838,0.007938191294670105,0.00793785136193037,0.007939797826111317,0.007937407121062279,0.007937917485833168,0.00793785136193037,0.9364960193634033,0.007937508635222912
92,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.01852053590118885,0.018524017184972763,0.01852579414844513,0.018519647419452667,0.8518088459968567,0.01852191984653473,0.018521372228860855,0.01852578856050968,0.01853211596608162
93,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.007937444373965263,0.00793819036334753,0.007937850430607796,0.007939157076179981,0.007937406189739704,0.007937917485833168,0.007937850430607796,0.9364967346191406,0.007937507703900337
94,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.010104653425514698,0.010102680884301662,0.9191781282424927,0.010102148167788982,0.010101763531565666,0.010103030130267143,0.010103648528456688,0.010102282278239727,0.01010170765221119
95,It won't take long.,0.027791453525424004,0.0277815293520689,0.02778014913201332,0.02778024412691593,0.7777286171913147,0.02778402529656887,0.027789093554019928,0.027782801538705826,0.02778209000825882
96,"No, he is not here. I am the officer in charge of the U.S. component of the coalition.",0.01852159947156906,0.018519224599003792,0.8518363237380981,0.01851865090429783,0.01852775178849697,0.018519598990678787,0.018519628793001175,0.018518613651394844,0.018518613651394844
97,"No, he is not here. I am taking his place.",0.03703970089554787,0.03703761473298073,0.03703818842768669,0.03704589232802391,0.7036733031272888,0.03703718259930611,0.03703814744949341,0.03705276921391487,0.03703718259930611
98,There has to be a way. What was name of the man you were talking to? If he is in your chain of command I'd like to talk to him.,0.8888723254203796,0.013890733011066914,0.013889833353459835,0.013890351168811321,0.013890178874135017,0.01389097049832344,0.01389204990118742,0.013890362344682217,0.013893245719373226
99,Not all of the details have been finalized so I'm not sure if that it would be of any help to you now.,0.01852053590118885,0.018524019047617912,0.01852579601109028,0.018519645556807518,0.8518059849739075,0.01852191984653473,0.018521370366215706,0.01852579042315483,0.018534963950514793
100,"Oh, is it about the plane being delayed? We have plenty of supplies here to compensate so we can accomplish the mission together until it arrives. I'm sure we can figure something out.",0.007937444373965263,0.00793819036334753,0.007937850430607796,0.007938947528600693,0.007937406189739704,0.007937916554510593,0.007937850430607796,0.936496913433075,0.007937507703900337
101,"Unfortunately, he was assigned another mission at the last minute and cannot make it today.",0.012348064221441746,0.01234863605350256,0.01234650518745184,0.012347286567091942,0.012348775751888752,0.9012162089347839,0.012347863987088203,0.012348152697086334,0.012348494492471218
102,What about the fellow who was here earlier? Can I talk to him? It seemed like you both were talking about this.,0.8730011582374573,0.01587633229792118,0.015874022617936134,0.015875136479735374,0.015873661264777184,0.015874268487095833,0.01587422750890255,0.015874482691287994,0.01587669365108013
103,I’d rather not say.,0.03703721985220909,0.03703721985220909,0.03704260289669037,0.7036681175231934,0.03703778237104416,0.03703721985220909,0.03704080730676651,0.03705865517258644,0.03704039752483368
104,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.00926295481622219,0.00926110241562128,0.009263187646865845,0.009260186925530434,0.009260470047593117,0.925906240940094,0.009263277053833008,0.009262356907129288,0.009260177612304688
105,"I know you have men available, can you just spare a few of them to help us? We have all the supplies for the near term, we just need manpower.",0.010103699751198292,0.010102681815624237,0.9191789627075195,0.010102150030434132,0.01010176446288824,0.010103034786880016,0.01010371558368206,0.010102283209562302,0.010101708583533764
106,"Then please work with me here. There are plenty of supplies to go around. I don't want to do it either, it looks bad for both of us.",0.009262957610189915,0.009261103346943855,0.00926318857818842,0.009260187856853008,0.009260470978915691,0.9259063005447388,0.009263219311833382,0.009262356907129288,0.009260178543627262
107,There really is not much to tell. It's going to be our basic loadout for Humanitarian aid missions.,0.9110926985740662,0.011113358661532402,0.011113527230918407,0.011113005690276623,0.011111997067928314,0.011114955879747868,0.01111326739192009,0.011114134453237057,0.011113081127405167
108,"But we cannot do this without you. I'll have to scrap my plan and notify my commander, I think we both would like to keep it from getting to that level so can we try and figure something out on our level? There has to be a compromise we can reach.",0.006174180191010237,0.006174417212605476,0.006173769943416119,0.006174333859235048,0.006175394635647535,0.006174364127218723,0.006177469622343779,0.00617461372166872,0.9506013989448547
109,"I understand you have your orders, but I also have mine--to get these supplies to the refugees. I don't mean to work around you, but I am going to have to find men to accomplish mission, even if it means talking to our chain of command.",0.9555404186248779,0.005556440446525812,0.005556941498070955,0.005556561518460512,0.005556326359510422,0.005558186676353216,0.005558747798204422,0.005558554083108902,0.0055578602477908134
110,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.007409245707094669,0.007409428246319294,0.007409351412206888,0.007410833612084389,0.007409057579934597,0.9407208561897278,0.007408393081277609,0.007414272520691156,0.00740854674950242
111,"Our medics are better at doing this sort of thing, and your men are better at site security.",0.013889792375266552,0.013903186656534672,0.01388899702578783,0.01388899702578783,0.8888643980026245,0.013891665264964104,0.01389490906149149,0.013889004476368427,0.01388899702578783
112,"I'm sorry to interrupt, it sounded important. Anything I can do to help? With your plane being delayed I'd like to do my best to make the mission go smoothly.",0.007409246172755957,0.007409428711980581,0.0074093518778681755,0.007410834543406963,0.007409058511257172,0.9407185912132263,0.007408393081277609,0.007416560314595699,0.007408547215163708
113,Can you explain to me why we are setting up two individual aid stations?,0.015877969563007355,0.015877988189458847,0.8729910254478455,0.015873542055487633,0.01587420515716076,0.015873989090323448,0.015880098566412926,0.01587333157658577,0.01587780751287937
